,epoch,corpus_size
0,0,0
1,1,101
2,2,101
3,3,101
4,4,101
5,5,101
6,6,523
7,7,523
8,8,523
9,9,523
10,10,523
11,11,760
12,12,760
13,13,760
14,14,760
15,15,760
16,16,760
17,17,760
18,18,760
19,19,760
20,20,760
21,21,1087
22,22,1088
23,23,1088
24,24,1088
25,25,1088
26,26,1088
27,27,1088
28,28,1088
29,29,1088
30,30,1088
31,31,1636
32,32,1650
33,33,1650
34,34,1650
35,35,1650
36,36,1650
37,37,1650
38,38,1650
39,39,1650
40,40,1650
41,41,1816
42,42,1821
43,43,1821
44,44,1821
45,45,1821
46,46,1821
47,47,1821
48,48,1821
49,49,1821
50,50,1821
51,51,1821
52,52,1821
53,53,1821
54,54,1821
55,55,1821
56,56,1821
57,57,1821
58,58,1821
59,59,1821
60,60,1821
61,61,1990
62,62,2002
63,63,2004
64,64,2004
65,65,2004
66,66,2004
67,67,2004
68,68,2004
69,69,2004
70,70,2004
71,71,2004
72,72,2004
73,73,2004
74,74,2004
75,75,2004
76,76,2004
77,77,2004
78,78,2004
79,79,2004
80,80,2004
81,81,2141
82,82,2153
83,83,2154
84,84,2154
85,85,2154
86,86,2154
87,87,2154
88,88,2154
89,89,2154
90,90,2154
91,91,2154
92,92,2154
93,93,2154
94,94,2154
95,95,2154
96,96,2154
97,97,2154
98,98,2154
99,99,2154
100,100,2154
101,101,2280
