,epoch,corpus_size
0,0,0
1,1,3644
2,2,4766
3,3,5291
4,4,5565
5,5,5701
6,6,5774
7,7,5805
8,8,5819
9,9,5825
10,10,5825
11,11,5828
12,12,5829
13,13,5831
14,14,5832
15,15,5832
16,16,5832
17,17,5832
18,18,5832
19,19,5832
20,20,5832
21,21,5832
22,22,5832
23,23,5832
24,24,5832
25,25,5832
26,26,5832
27,27,5832
28,28,5832
29,29,5832
30,30,5832
31,31,5832
32,32,5832
33,33,5832
34,34,5832
35,35,5832
36,36,5832
37,37,5832
38,38,5832
39,39,5832
40,40,5832
41,41,5832
42,42,5832
43,43,5832
44,44,5832
45,45,5832
46,46,5832
47,47,5832
48,48,5832
49,49,5832
50,50,5832
51,51,5832
52,52,5832
53,53,5832
54,54,5832
55,55,5832
56,56,5832
57,57,5832
58,58,5832
59,59,5832
60,60,5832
61,61,5832
62,62,5832
63,63,5832
64,64,5832
65,65,5832
66,66,5832
67,67,5832
68,68,5832
69,69,5832
70,70,5832
71,71,5832
72,72,5832
73,73,5832
74,74,5832
75,75,5832
76,76,5832
77,77,5832
78,78,5832
79,79,5832
80,80,5832
81,81,5832
82,82,5832
83,83,5832
84,84,5832
85,85,5832
86,86,5832
87,87,5832
88,88,5832
89,89,5832
90,90,5832
91,91,5832
92,92,5832
93,93,5832
94,94,5832
95,95,5832
96,96,5832
97,97,5832
98,98,5832
99,99,5832
100,100,5832
101,101,5832
