,epoch,corpus_size
0,0,0
1,1,3194
2,2,4049
3,3,4460
4,4,4743
5,5,4910
6,6,5043
7,7,5144
8,8,5205
9,9,5270
10,10,5303
11,11,5339
12,12,5367
13,13,5392
14,14,5413
15,15,5430
16,16,5438
17,17,5442
18,18,5453
19,19,5460
20,20,5463
21,21,5472
22,22,5477
23,23,5481
24,24,5484
25,25,5487
26,26,5492
27,27,5495
28,28,5496
29,29,5498
30,30,5498
31,31,5501
32,32,5501
33,33,5501
34,34,5502
35,35,5503
36,36,5504
37,37,5504
38,38,5505
39,39,5505
40,40,5505
41,41,5507
42,42,5507
43,43,5508
44,44,5508
45,45,5508
46,46,5508
47,47,5509
48,48,5510
49,49,5510
50,50,5510
51,51,5510
52,52,5510
53,53,5510
54,54,5510
55,55,5510
56,56,5510
57,57,5510
58,58,5510
59,59,5511
60,60,5511
61,61,5511
62,62,5511
63,63,5511
64,64,5512
65,65,5512
66,66,5512
67,67,5512
68,68,5512
69,69,5512
70,70,5513
71,71,5513
72,72,5513
73,73,5513
74,74,5513
75,75,5513
76,76,5513
77,77,5513
78,78,5513
79,79,5513
80,80,5513
81,81,5513
82,82,5513
83,83,5513
84,84,5513
85,85,5513
86,86,5513
87,87,5513
88,88,5513
89,89,5513
90,90,5513
91,91,5513
92,92,5513
93,93,5513
94,94,5513
95,95,5513
96,96,5513
97,97,5513
98,98,5513
99,99,5513
100,100,5513
101,101,5513
