,word,ort,pho,wf,img,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,gr14
0,a,___a______,___^______,1100290.0,4.194245614035086,0.921724,0.9173020000000001,0.916424,0.914525,0.9101389999999999,0.908242,0.9070299999999999,0.9064549999999999,0.9059729999999999,0.904752,0.903742,0.902876,0.89531,0.89531
1,ace,___a_ce___,___es_____,117.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2,ache,___a_che__,___ek_____,27.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.0619023,0.0,0.05
3,ached,___a_ched_,___ekt____,3.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
4,aches,___a_ches_,___eks____,23.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
5,act,___a_ct___,___@kt____,7449.0,3.5,0.0,0.0,0.38474,0.398514,0.411051,0.41626599999999997,0.420727,0.42434700000000003,0.428662,0.434489,0.44395500000000004,0.462262,0.5142720000000001,0.5142720000000001
6,acts,___a_cts__,___@kts___,1017.0,4.194245614035086,0.0,0.0,0.0,0.0,0.300088,0.308422,0.31357199999999996,0.31595,0.320861,0.346102,0.347657,0.364149,0.408047,0.408047
7,ad,___a_d____,___@d_____,4769.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16043,0.14389100000000002,0.160058,0.16001500000000002,0.229303,0.229303
8,add,___a_dd___,___@d_____,3585.0,3.3,0.0,0.0,0.0,0.328387,0.354088,0.374921,0.385995,0.391488,0.401903,0.408073,0.410483,0.401861,0.364526,0.364526
9,adds,___a_dds__,___@dz____,6648.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.21536599999999997,0.22285,0.22981100000000002,0.236296,0.25330199999999997,0.253092,0.262957,0.22214699999999998,0.22214699999999998
10,ads,___a_ds___,___@dz____,3416.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.174512,0.174347,0.18618900000000002,0.185911,0.196279,0.22191799999999998,0.22214699999999998,0.22214699999999998
11,aft,___a_ft___,___@ft____,36.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.0619023,0.0,0.05
12,age,___a_ge___,___eJ_____,4993.0,3.4,0.0,0.0,0.41230200000000006,0.42496000000000006,0.44942299999999996,0.46837700000000004,0.47289,0.478655,0.482526,0.486188,0.48846300000000004,0.49521899999999996,0.514556,0.514556
13,aid,___aid____,___ed_____,6163.0,3.5,0.0,0.0,0.0,0.0,0.269787,0.292625,0.295575,0.313275,0.323314,0.349752,0.368678,0.396756,0.44048999999999994,0.44048999999999994
14,aide,___aide___,___ed_____,1988.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.09811289999999999,0.14388199999999998,0.14388199999999998
15,aides,___aides__,___edz____,2228.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09811289999999999,0.205848,0.205848
16,aids,___aids___,___edz____,5741.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16053599999999998,0.16043,0.173973,0.185757,0.235684,0.315252,0.315252
17,ail,___ail____,___el_____,39.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
