,word,ort,pho,wf,cf,rcf,p
0,a,___a______,___^______,1100290.0,10000.0,100.0,0.0009338443799030066
1,ace,___a_ce___,___es_____,117.0,117.0,10.816653826391969,0.00010101071385132492
2,ache,___a_che__,___ek_____,27.0,27.0,5.196152422706632,4.852397737063981e-05
3,ached,___a_ched_,___ekt____,3.0,3.0,1.7320508075688772,1.61746591235466e-05
4,aches,___a_ches_,___eks____,23.0,23.0,4.795831523312719,4.4785603150072576e-05
5,act,___a_ct___,___@kt____,7449.0,7449.0,86.3075894692929,0.000805978573688751
6,acts,___a_cts__,___@kts___,1017.0,1017.0,31.89043743820395,0.0002978070577431519
7,ad,___a_d____,___@d_____,4769.0,4769.0,69.05794668247819,0.0006448937539707374
8,add,___a_dd___,___@d_____,3585.0,3585.0,59.87486951969081,0.000559138103983891
9,adds,___a_dds__,___@dz____,6648.0,6648.0,81.53526844255803,0.0007614125219896579
10,ads,___a_ds___,___@dz____,3416.0,3416.0,58.44655678480983,0.000545799885781766
11,aft,___a_ft___,___@ft____,36.0,36.0,6.0,5.60306627941804e-05
12,age,___a_ge___,___eJ_____,4993.0,4993.0,70.66116330771806,0.0006598653023232106
13,aid,___aid____,___ed_____,6163.0,6163.0,78.50477692471968,0.0007331124472668871
14,aide,___aide___,___ed_____,1988.0,1988.0,44.58699361921591,0.00041637313408075994
15,aides,___aides__,___edz____,2228.0,2228.0,47.20169488482379,0.0004407903749008919
16,aids,___aids___,___edz____,5741.0,5741.0,75.76938695805846,0.0007075681617947907
17,ail,___ail____,___el_____,39.0,39.0,6.244997998398398,5.8318562833098697e-05
18,ailed,___ailed__,___eld____,2.0,2.0,1.4142135623730951,1.320655387204725e-05
19,ails,___ails___,___elz____,24.0,24.0,4.898979485566356,4.574884459856264e-05
20,aim,___aim____,___em_____,947.0,947.0,30.773365106858236,0.00028737534055742854
21,aimed,___aimed__,___emd____,3295.0,3295.0,57.40209055426466,0.0005360461965878352
22,aims,___aims___,___emz____,619.0,619.0,24.879710609249457,0.00023233777926060816
23,air,___air____,___Er_____,15555.0,10000.0,100.0,0.0009338443799030066
24,airs,___airs___,___Erz____,89.0,89.0,9.433981132056603,8.809870260282063e-05
