,word,ort,pho,wf,sfi,d,u,f,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,gr14,img,wn_idx
0,a,___a______,___^______,1100290.0,83.80000305,0.998199999,24070.0,416415.0,21811.0,19884.0,23168.0,23295.0,24495.0,24646.0,24683.0,24761.0,24792.0,24828.0,24756.0,24584.0,22354.0,416415.0,4.193220934316819,0
1,ace,___a_ce___,___es_____,117.0,40.59999847,0.603500009,1.0,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,4.5,1
2,ache,___a_che__,___ek_____,27.0,45.70000076,0.537199974,3.0,96.0,6.0,7.0,6.0,7.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,96.0,3.8,2
3,ached,___a_ched_,___ekt____,3.0,45.5,0.442799985,3.0,102.0,0.0,4.0,9.0,10.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,102.0,4.193220934316819,3
4,aches,___a_ches_,___eks____,23.0,40.90000153,0.410699993,1.0,40.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,4.193220934316819,4
5,act,___a_ct___,___@kt____,7449.0,61.90000153,0.9419999720000001,155.0,2819.0,27.0,67.0,67.0,79.0,95.0,102.0,108.0,113.0,119.0,128.0,143.0,176.0,314.0,2819.0,3.5,5
6,acts,___a_cts__,___@kts___,1017.0,56.79999924,0.9316999909999999,48.0,881.0,5.0,11.0,17.0,22.0,27.0,30.0,32.0,33.0,35.0,47.0,48.0,58.0,95.0,881.0,4.193220934316819,6
7,ad,___a_d____,___@d_____,4769.0,49.90000153,0.907400012,9.0,183.0,10.0,8.0,8.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,12.0,183.0,4.1,7
8,add,___a_dd___,___@d_____,3585.0,58.5,0.883599997,70.0,1338.0,46.0,31.0,26.0,36.0,50.0,64.0,73.0,78.0,88.0,95.0,98.0,89.0,58.0,1338.0,3.3,8
9,adds,___a_dds__,___@dz____,6648.0,50.70000076,0.8525000209999999,11.0,231.0,10.0,4.0,2.0,4.0,7.0,10.0,11.0,12.0,13.0,16.0,16.0,18.0,11.0,231.0,4.193220934316819,9
10,ads,___a_ds___,___@dz____,3416.0,49.70000076,0.8057000040000001,9.0,190.0,2.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,11.0,11.0,190.0,4.193220934316819,10
11,aft,___a_ft___,___@ft____,36.0,41.90000153,0.421999991,1.0,46.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,46.0,1.6,12
12,age,___a_ge___,___eJ_____,4993.0,63.09999847,0.897300005,205.0,3869.0,29.0,62.0,91.0,106.0,146.0,183.0,194.0,208.0,218.0,229.0,236.0,255.0,315.0,3869.0,3.4,13
13,aid,___aid____,___ed_____,6163.0,57.70000076,0.943400025,58.0,1055.0,1.0,12.0,11.0,11.0,19.0,25.0,26.0,32.0,36.0,49.0,61.0,84.0,137.0,1055.0,3.5,14
14,aide,___aide___,___ed_____,1988.0,43.90000153,0.611100018,2.0,62.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,62.0,2.5,15
15,aides,___aides__,___edz____,2228.0,44.40000153,0.5961999889999999,2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,70.0,4.193220934316819,16
16,aids,___aids___,___edz____,5741.0,50.40000153,0.8544999959999999,10.0,216.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,5.0,6.0,7.0,13.0,33.0,216.0,4.193220934316819,17
17,ail,___ail____,___el_____,39.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,18
18,ailed,___ailed__,___eld____,2.0,33.59999847,0.301299989,0.23059999899999997,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.193220934316819,19
19,ails,___ails___,___elz____,24.0,34.90000153,0.44639998700000005,0.311399996,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.193220934316819,20
20,aim,___aim____,___em_____,947.0,52.29999924,0.947799981,16.0,303.0,0.0,6.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,13.0,12.0,15.0,26.0,303.0,3.9,21
21,aimed,___aimed__,___emd____,3295.0,50.70000076,0.857500017,11.0,230.0,3.0,5.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,9.0,12.0,23.0,230.0,4.193220934316819,22
22,aims,___aims___,___emz____,619.0,47.29999924,0.72359997,5.0,119.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,18.0,119.0,4.193220934316819,23
23,air,___air____,___Er_____,15555.0,67.40000153,0.798699975,550.0,11408.0,314.0,415.0,516.0,572.0,617.0,621.0,640.0,633.0,637.0,607.0,586.0,529.0,301.0,11408.0,4.0,24
24,airs,___airs___,___Erz____,89.0,38.59999847,0.306499988,0.726100028,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.193220934316819,25
25,aisle,___aisle__,___Al_____,81.0,48.0,0.651199996,6.0,148.0,3.0,7.0,10.0,7.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,148.0,5.3,26
26,aisles,___aisles_,___Alz____,75.0,43.59999847,0.6977000240000001,2.0,52.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,52.0,4.193220934316819,27
27,ale,___a_le___,___el_____,92.0,42.09999847,0.50999999,1.0,44.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,44.0,4.0,28
