index,word,ort,pho,wf,wn_idx,adjusted_wf
0,a,___a______,__^____,1100290.0,0.0,1100290.0
1,ace,___a_ce___,__es___,117.0,1.0,117.0
2,ache,___a_che__,__ek___,27.0,2.0,27.0
3,ached,___a_ched_,__ekt__,3.0,3.0,3.0
4,aches,___a_ches_,__eks__,23.0,4.0,23.0
5,act,___a_ct___,__@kt__,7449.0,5.0,7449.0
6,acts,___a_cts__,__@kts_,1017.0,6.0,1017.0
7,ad,___a_d____,__@d___,4769.0,7.0,4769.0
8,add,___a_dd___,__@d___,3585.0,8.0,3585.0
9,adds,___a_dds__,__@dz__,6648.0,9.0,6648.0
10,ads,___a_ds___,__@dz__,3416.0,10.0,3416.0
11,aft,___a_ft___,__@ft__,36.0,12.0,36.0
12,age,___a_ge___,__eJ___,4993.0,13.0,4993.0
13,aid,___aid____,__ed___,6163.0,14.0,6163.0
14,aide,___aide___,__ed___,1988.0,15.0,1988.0
15,aides,___aides__,__edz__,2228.0,16.0,2228.0
16,aids,___aids___,__edz__,5741.0,17.0,5741.0
17,ail,___ail____,__el___,39.0,18.0,39.0
18,ailed,___ailed__,__eld__,2.0,19.0,2.0
19,ails,___ails___,__elz__,24.0,20.0,24.0
20,aim,___aim____,__em___,947.0,21.0,947.0
21,aimed,___aimed__,__emd__,3295.0,22.0,3295.0
22,aims,___aims___,__emz__,619.0,23.0,619.0
23,air,___air____,__Er___,15555.0,24.0,15555.0
24,airs,___airs___,__Erz__,89.0,25.0,89.0
25,aisle,___aisle__,__Al___,81.0,26.0,81.0
26,aisles,___aisles_,__Alz__,75.0,27.0,75.0
27,ale,___a_le___,__el___,92.0,28.0,92.0
28,ales,___a_les__,__elz__,9.0,29.0,9.0
29,all,___a_ll___,__al___,62510.0,30.0,62510.0
30,alms,___a_lms__,__almz_,9.0,31.0,9.0
31,alp,___a_lp___,__@lp__,3.0,32.0,3.0
32,alps,___a_lps__,__@lps_,64.0,33.0,64.0
33,am,___a_m____,__@m___,6097.0,34.0,6097.0
34,amp,___a_mp___,__@mp__,58.0,35.0,58.0
35,an,___a_n____,__@n___,182440.0,36.0,182440.0
36,and,___a_nd___,__@nd__,909157.0,37.0,909157.0
37,angst,___a_ngst_,__@ngst,68.0,38.0,68.0
38,ant,___a_nt___,__@nt__,18.0,39.0,18.0
39,ants,___a_nts__,__@nts_,29.0,40.0,29.0
40,ape,___a_pe___,__ep___,18.0,41.0,18.0
41,apes,___a_pes__,__eps__,10.0,42.0,10.0
42,apse,___a_pse__,__@ps__,1.0,43.0,1.0
43,apt,___a_pt___,__@pt__,239.0,44.0,239.0
44,arc,___a_rc___,__ark__,245.0,45.0,245.0
45,arch,___a_rch__,__arC__,184.0,46.0,184.0
46,arcs,___a_rcs__,__arks_,16.0,47.0,16.0
47,are,___a_re___,__ar___,177808.0,48.0,177808.0
48,ark,___a_rk___,__ark__,446.0,50.0,446.0
49,arks,___a_rks__,__arks_,4.0,51.0,4.0
50,arm,___a_rm___,__arm__,1912.0,52.0,1912.0
51,arms,___a_rms__,__armz_,6684.0,53.0,6684.0
52,arse,___a_rse__,__ars__,1.0,54.0,1.0
53,art,___a_rt___,__art__,3920.0,55.0,3920.0
54,arts,___a_rts__,__arts_,1109.0,56.0,1109.0
55,as,___a_s____,__@z___,255899.0,57.0,255899.0
56,ash,___a_sh___,__@S___,165.0,58.0,165.0
57,ask,___a_sk___,__@sk__,3500.0,59.0,3500.0
58,asked,___a_sked_,__@skt_,10178.0,60.0,10178.0
59,asks,___a_sks__,__@sks_,1711.0,61.0,1711.0
60,asp,___a_sp___,__@sp__,2.0,62.0,2.0
61,asps,___a_sps__,__@sps_,0.0,63.0,0.0
62,ass,___a_ss___,__@s___,27.0,64.0,27.0
63,at,___a_t____,__@t___,241045.0,65.0,241045.0
64,ate,___a_te___,__et___,156.0,66.0,156.0
65,aught,___aught__,__at___,0.0,67.0,0.0
66,aunt,___aunt___,__ant__,112.0,68.0,112.0
67,aunts,___aunts__,__ants_,9.0,69.0,9.0
68,awe,___awe____,__a____,67.0,70.0,67.0
69,awes,___awes___,__az___,1.0,71.0,1.0
70,awl,___awl____,__al___,0.0,72.0,0.0
71,awls,___awls___,__alz__,0.0,73.0,0.0
72,awn,___awn____,__an___,0.0,74.0,0.0
73,ax,___a_x____,__@ks__,106.0,76.0,106.0
74,axe,___a_xe___,__@ks__,17.0,77.0,17.0
75,aye,___aye____,__A____,4.0,78.0,4.0
76,babe,__ba_be___,_beb___,38.0,79.0,38.0
77,babes,__ba_bes__,_bebz__,12.0,80.0,12.0
78,back,__ba_ck___,_b@k___,23300.0,81.0,23300.0
79,bad,__ba_d____,_b@d___,5766.0,82.0,5766.0
80,badge,__ba_dge__,_b@J___,78.0,83.0,78.0
81,bag,__ba_g____,_b@g___,628.0,84.0,628.0
82,bags,__ba_gs___,_b@gz__,725.0,85.0,725.0
83,bail,__bail____,_bel___,516.0,86.0,516.0
84,bails,__bails___,_belz__,6.0,87.0,6.0
85,bait,__bait____,_bet___,187.0,88.0,187.0
86,baits,__baits___,_bets__,7.0,89.0,7.0
87,bake,__ba_ke___,_bek___,34.0,91.0,34.0
88,baked,__ba_ked__,_bekt__,162.0,92.0,162.0
89,bakes,__ba_kes__,_beks__,71.0,93.0,71.0
90,bald,__ba_ld___,_bald__,103.0,94.0,103.0
91,bale,__ba_le___,_bel___,11.0,95.0,11.0
92,bales,__ba_les__,_belz__,252.0,96.0,252.0
93,balk,__ba_lk___,_balk__,126.0,97.0,126.0
94,balked,__ba_lked_,_balkt_,292.0,98.0,292.0
