,word,ort,pho,wf,img
0,a,___a______,___^______,1100290.0,4.194245614035087
1,ace,___a_ce___,___es_____,117.0,4.5
2,ache,___a_che__,___ek_____,27.0,3.8
3,ached,___a_ched_,___ekt____,3.0,4.194245614035087
4,aches,___a_ches_,___eks____,23.0,4.194245614035087
5,act,___a_ct___,___@kt____,7449.0,3.5
6,acts,___a_cts__,___@kts___,1017.0,4.194245614035087
7,ad,___a_d____,___@d_____,4769.0,4.1
8,add,___a_dd___,___@d_____,3585.0,3.3
9,adds,___a_dds__,___@dz____,6648.0,4.194245614035087
10,ads,___a_ds___,___@dz____,3416.0,4.194245614035087
11,aft,___a_ft___,___@ft____,36.0,1.6
12,age,___a_ge___,___eJ_____,4993.0,3.4
13,aid,___aid____,___ed_____,6163.0,3.5
14,aide,___aide___,___ed_____,1988.0,2.5
15,aides,___aides__,___edz____,2228.0,4.194245614035087
16,aids,___aids___,___edz____,5741.0,4.194245614035087
17,ail,___ail____,___el_____,39.0,1.9
18,ailed,___ailed__,___eld____,2.0,4.194245614035087
19,ails,___ails___,___elz____,24.0,4.194245614035087
20,aim,___aim____,___em_____,947.0,3.9
21,aimed,___aimed__,___emd____,3295.0,4.194245614035087
22,aims,___aims___,___emz____,619.0,4.194245614035087
23,air,___air____,___Er_____,15555.0,4.0
24,airs,___airs___,___Erz____,89.0,4.194245614035087
25,aisle,___aisle__,___Al_____,81.0,5.3
26,aisles,___aisles_,___Alz____,75.0,4.194245614035087
27,ale,___a_le___,___el_____,92.0,4.0
28,ales,___a_les__,___elz____,9.0,4.194245614035087
29,all,___a_ll___,___al_____,62510.0,2.3
30,alms,___a_lms__,___almz___,9.0,2.3
31,alp,___a_lp___,___@lp____,3.0,2.7
32,alps,___a_lps__,___@lps___,64.0,4.194245614035087
33,am,___a_m____,___@m_____,6097.0,1.8
34,amp,___a_mp___,___@mp____,58.0,4.194245614035087
35,an,___a_n____,___@n_____,182440.0,1.2
36,and,___a_nd___,___@nd____,909157.0,1.3
37,angst,___a_ngst_,___@ngst__,68.0,4.194245614035087
38,ant,___a_nt___,___@nt____,18.0,6.7
39,ants,___a_nts__,___@nts___,29.0,4.194245614035087
