"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","SUBTLWF"
"1","a","1","10,610,626","16.177","20,415.270"
"1","ace","3","6,967","8.849","14.730"
"1","ache","4","846","6.741","2.490"
"1","ached","5","296","5.690","0.310"
"1","aches","5","419","6.038","1.510"
"1","act","3","72,216","11.187","109.120"
"1","acts","4","19,423","9.874","12.470"
"1","ad","2","43,254","10.675","13.610"
"1","add","3","113,856","11.643","33.060"
"1","adds","4","11,870","9.382","3.940"
"1","ads","3","26,673","10.191","5.060"
"1","adze","4","28","3.332","#"
"1","aft","3","934","6.839","3.530"
"1","age","3","66,835","11.110","79.200"
"1","aid","3","18,556","9.829","13.900"
"1","aide","4","1,575","7.362","2.020"
"1","aides","5","671","6.509","0.630"
"1","aids","4","22,058","10.001","1.060"
"1","ail","3","233","5.451","0.220"
"1","ailed","5","11","2.398","0.040"
"1","ails","4","90","4.500","0.760"
"1","aim","3","7,900","8.975","14.860"
"1","aimed","5","7,151","8.875","1.940"
"1","aims","4","2,831","7.948","1.180"
"1","air","3","81,115","11.304","139.020"
"1","airs","4","1,597","7.376","0.760"
"1","aisle","5","1,388","7.236","7.430"
"1","aisles","6","347","5.849","0.730"
"1","ale","3","4,919","8.501","3.960"
"1","ales","4","860","6.757","0.100"
"1","all","3","1,699,638","14.346","5,161.860"
"1","alms","4","134","4.898","0.490"
"1","Alp","3","513","6.240","0.120"
"1","Alps","4","805","6.691","1.220"
"1","am","2","547,593","13.213","1,106.630"
"1","amp","3","8,909","9.095","1.820"
"1","an","2","1,578,013","14.272","1,864.140"
"1","and","3","10,715,411","16.187","13,387.840"
"1","angst","5","2,000","7.601","0.920"
"1","ant","3","2,773","7.928","5.350"
"1","ants","4","4,321","8.371","7.160"
"1","ape","3","3,850","8.256","9.670"
"1","apes","4","2,568","7.851","4.100"
"1","apse","4","13","2.565","#"
"1","apt","3","3,778","8.237","1.750"
"1","arc","3","7,835","8.966","4.840"
"1","arch","4","3,721","8.222","3.690"
"1","arcs","4","734","6.599","0.180"
"1","are","3","2,984,459","14.909","5,209.250"
"1","Ares","4","502","6.219","3.160"
"1","ark","3","2,890","7.969","3.900"
"1","arks","4","21","3.045","0.060"
"1","arm","3","20,427","9.925","65.410"
"1","arms","4","32,708","10.395","59.800"
"1","arse","4","1,071","6.976","3.750"
"1","art","3","62,513","11.043","70.800"
"1","arts","4","22,653","10.028","9.220"
"1","as","2","2,642,511","14.787","2,217.020"
"1","ash","3","3,594","8.187","9.200"
"1","ask","3","138,493","11.839","483.140"
"1","asked","5","102,158","11.534","216.250"
"1","asks","4","16,409","9.706","16.710"
"1","asp","3","3,660","8.205","0.120"
"1","asps","4","35","3.555","0.100"
"1","ass","3","29,848","10.304","226.370"
"1","at","2","1,977,887","14.498","3,217.100"
"1","ate","3","7,076","8.864","33.760"
"1","aught","5","114","4.736","0.350"
"1","aunt","4","2,845","7.953","55.200"
"1","aunts","5","429","6.061","1.550"
"1","awe","3","2,711","7.905","2.630"
"1","awes","4","38","3.638","#"
"1","awl","3","111","4.710","0.040"
