,word,ort,pho,wf,adjusted_wf
0,a,___a______,___^____,20415.27,20415.27
1,ace,___a_ce___,___es___,14.73,14.73
2,ache,___a_che__,___ek___,2.49,2.49
3,ached,___a_ched_,___ekt__,0.31,0.31
4,aches,___a_ches_,___eks__,1.51,1.51
5,act,___a_ct___,___@kt__,109.12,109.12
6,acts,___a_cts__,___@kts_,12.47,12.47
7,ad,___a_d____,___@d___,13.61,13.61
8,add,___a_dd___,___@d___,33.06,33.06
9,adds,___a_dds__,___@dz__,3.94,3.94
10,ads,___a_ds___,___@dz__,5.06,5.06
11,adze,___a_dze__,___@dz__,0.0,0.0
12,aft,___a_ft___,___@ft__,3.53,3.53
13,age,___a_ge___,___eJ___,79.2,79.2
14,aid,___aid____,___ed___,13.9,13.9
15,aide,___aide___,___ed___,2.02,2.02
16,aides,___aides__,___edz__,0.63,0.63
17,aids,___aids___,___edz__,1.06,1.06
18,ail,___ail____,___el___,0.22,0.22
19,ailed,___ailed__,___eld__,0.04,0.04
20,ails,___ails___,___elz__,0.76,0.76
21,aim,___aim____,___em___,14.86,14.86
22,aimed,___aimed__,___emd__,1.94,1.94
23,aims,___aims___,___emz__,1.18,1.18
24,air,___air____,___Er___,139.02,139.02
25,airs,___airs___,___Erz__,0.76,0.76
26,aisle,___aisle__,___Al___,7.43,7.43
27,aisles,___aisles_,___Alz__,0.73,0.73
28,ale,___a_le___,___el___,3.96,3.96
29,ales,___a_les__,___elz__,0.1,0.1
30,all,___a_ll___,___al___,5161.86,5161.86
31,alms,___a_lms__,___almz_,0.49,0.49
32,alp,___a_lp___,___@lp__,0.0,0.0
33,alps,___a_lps__,___@lps_,0.0,0.0
34,am,___a_m____,___@m___,1106.63,1106.63
35,amp,___a_mp___,___@mp__,1.82,1.82
36,an,___a_n____,___@n___,1864.14,1864.14
37,and,___a_nd___,___@nd__,13387.84,13387.84
38,angst,___a_ngst_,___@ngst,0.92,0.92
39,ant,___a_nt___,___@nt__,5.35,5.35
40,ants,___a_nts__,___@nts_,7.16,7.16
41,ape,___a_pe___,___ep___,9.67,9.67
42,apes,___a_pes__,___eps__,4.1,4.1
43,apse,___a_pse__,___@ps__,0.0,0.0
44,apt,___a_pt___,___@pt__,1.75,1.75
45,arc,___a_rc___,___ark__,4.84,4.84
46,arch,___a_rch__,___arC__,3.69,3.69
