,word,img,n_features,wf
0,ace,4.5,7.0,117.0
1,ache,3.8,5.0,27.0
2,act,3.5,2.0,7449.0
3,ad,4.1,7.0,4769.0
4,add,3.3,3.0,3585.0
5,aft,1.6,9.0,36.0
6,age,3.4,4.0,4993.0
7,aid,3.5,5.0,6163.0
8,aide,2.5,11.0,1988.0
9,ail,1.9,6.0,39.0
10,aim,3.9,5.0,947.0
11,air,4.0,5.0,15555.0
12,aisle,5.3,7.0,81.0
13,ale,4.0,7.0,92.0
14,all,2.3,8.0,62510.0
15,alms,2.3,1.0,9.0
16,alp,2.7,10.0,3.0
17,am,1.8,4.0,6097.0
18,an,1.2,9.0,182440.0
19,and,1.3,8.0,909157.0
20,ant,6.7,23.0,18.0
21,ape,6.8,23.0,18.0
22,apse,1.3,5.0,1.0
23,apt,1.9,6.0,239.0
24,arc,5.0,4.0,245.0
25,arch,5.1,7.0,184.0
26,are,1.3,4.0,177808.0
27,ark,5.7,10.0,446.0
28,arm,6.8,11.0,1912.0
29,art,4.6,6.0,3920.0
30,arts,4.0,7.0,1109.0
31,as,1.4,10.0,255899.0
32,ash,5.7,4.0,165.0
33,ask,2.7,7.0,3500.0
34,ass,6.0,7.0,27.0
35,at,1.4,7.0,241045.0
36,ate,3.9,5.0,156.0
37,aunt,6.2,10.0,112.0
38,awe,2.3,4.0,67.0
39,ax,6.2,16.0,106.0
40,axe,6.3,16.0,17.0
41,aye,1.7,7.0,4.0
42,babe,5.7,10.0,38.0
43,back,5.0,11.0,23300.0
44,bad,2.4,7.0,5766.0
45,badge,5.9,9.0,78.0
46,bag,6.4,6.0,628.0
47,bail,3.9,3.0,516.0
48,bait,5.6,4.0,187.0
49,bake,5.1,7.0,34.0
50,bald,6.2,6.0,103.0
51,bale,3.4,7.0,11.0
52,balk,1.8,5.0,126.0
53,ball,6.6,7.0,1393.0
54,balm,4.3,8.0,31.0
55,ban,2.9,14.0,2298.0
56,band,6.0,4.0,900.0
57,bane,2.1,3.0,38.0
58,bang,3.7,6.0,346.0
59,bank,6.1,4.0,53170.0
60,bar,6.1,13.0,2199.0
61,barb,4.3,9.0,19.0
62,bare,3.9,5.0,261.0
63,barge,5.7,20.0,170.0
64,bark,5.0,9.0,61.0
65,barn,6.9,29.0,161.0
66,base,4.4,3.0,6018.0
67,bash,3.2,6.0,114.0
68,bask,2.6,4.0,21.0
69,baste,3.5,6.0,0.0
70,bat,6.2,9.0,1468.0
71,batch,3.8,3.0,182.0
72,bath,6.0,10.0,272.0
73,bathe,4.5,8.0,17.0
74,bawl,3.6,7.0,0.0
75,bay,5.2,4.0,1452.0
76,be,1.3,2.0,203275.0
77,beach,6.5,6.0,1691.0
78,bead,6.0,7.0,12.0
79,beak,5.2,8.0,10.0
80,beam,4.6,6.0,267.0
81,bean,6.6,10.0,200.0
82,bear,6.7,22.0,3520.0
83,beard,6.3,10.0,210.0
84,beast,5.6,7.0,96.0
85,beat,3.4,,657.5
86,beat,3.4,,657.5
87,beau,3.1,14.0,31.0
88,beck,2.0,7.0,135.0
89,bed,6.6,7.0,665.0
90,bee,6.9,25.0,191.0
91,beech,3.4,19.0,184.0
92,beef,6.5,34.0,1327.0
93,beer,6.1,8.0,1618.0
94,beet,4.8,15.0,111.0
95,beg,3.7,9.0,67.0
96,beige,5.3,6.0,43.0
97,belch,4.6,8.0,9.0
98,bell,6.6,6.0,4691.0
99,belle,3.9,13.0,52.0
100,belt,6.5,4.0,987.0
101,bench,6.5,10.0,382.0
102,bend,3.9,8.0,320.0
103,bent,4.7,9.0,299.0
104,berth,2.0,5.0,27.0
105,best,2.7,6.0,11512.0
106,bet,3.1,,506.0
107,bet,3.1,,506.0
108,bib,5.9,8.0,5.0
109,bid,3.4,2.0,20125.0
