,epoch,corpus_size
0,0,0
1,1,101
2,2,101
3,3,101
4,4,101
5,5,101
6,6,101
7,7,101
8,8,101
9,9,101
10,10,101
11,11,521
12,12,521
13,13,521
14,14,521
15,15,521
16,16,757
17,17,757
18,18,757
19,19,757
20,20,757
21,21,757
22,22,1085
23,23,1085
24,24,1085
25,25,1085
26,26,1085
27,27,1641
28,28,1647
29,29,1647
30,30,1647
31,31,1809
32,32,1817
33,33,1818
34,34,1818
35,35,1818
36,36,1818
37,37,1818
38,38,1818
39,39,1991
40,40,2000
41,41,2000
42,42,2001
43,43,2001
44,44,2001
45,45,2001
46,46,2001
47,47,2144
48,48,2151
49,49,2151
50,50,2151
51,51,2151
52,52,2151
53,53,2151
54,54,2151
55,55,2290
56,56,2301
57,57,2305
58,58,2305
59,59,2305
60,60,2305
61,61,2305
62,62,2305
63,63,2436
64,64,2458
65,65,2458
66,66,2458
67,67,2458
68,68,2458
69,69,2458
70,70,2458
71,71,2613
72,72,2643
73,73,2649
74,74,2652
75,75,2652
76,76,2652
77,77,2652
78,78,2652
79,79,2824
80,80,2879
81,81,2887
82,82,2892
83,83,2892
84,84,2893
85,85,2893
86,86,2893
87,87,2936
88,88,2944
89,89,2945
90,90,2945
91,91,2945
92,92,2945
93,93,2945
94,94,2945
95,95,4520
96,96,5043
97,97,5276
98,98,5381
99,99,5443
100,100,5469
