,epoch,corpus_size
0,0,0
1,1,250
2,2,641
3,3,760
4,4,965
5,5,1087
6,6,1432
7,7,1646
8,8,1753
9,9,1818
10,10,1821
11,11,1821
12,12,1962
13,13,2003
14,14,2004
15,15,2004
16,16,2122
17,17,2154
18,18,2154
19,19,2154
20,20,2285
21,21,2306
22,22,2307
23,23,2308
24,24,2445
25,25,2459
26,26,2461
27,27,2468
28,28,2620
29,29,2650
30,30,2654
31,31,2694
32,32,2843
33,33,2884
34,34,2893
35,35,2894
36,36,2897
37,37,2897
38,38,2897
39,39,2931
40,40,2944
41,41,2946
42,42,2948
43,43,4143
44,44,4918
45,45,5206
46,46,5345
47,47,5433
48,48,5466
49,49,5484
50,50,5489
51,51,5498
52,52,5505
53,53,5508
54,54,5512
55,55,5516
56,56,5518
57,57,5520
58,58,5520
59,59,5523
60,60,5523
61,61,5523
62,62,5523
63,63,5523
64,64,5524
65,65,5524
66,66,5524
67,67,5524
68,68,5524
69,69,5524
70,70,5524
71,71,5524
72,72,5524
73,73,5524
74,74,5524
75,75,5524
76,76,5524
77,77,5524
78,78,5524
79,79,5524
80,80,5524
81,81,5524
82,82,5524
83,83,5524
84,84,5524
85,85,5524
86,86,5524
87,87,5524
88,88,5524
89,89,5524
90,90,5524
91,91,5524
92,92,5524
93,93,5524
94,94,5524
95,95,5524
96,96,5524
97,97,5524
98,98,5524
99,99,5524
100,100,5524
101,101,5524
