,epoch,corpus_size
0,0,0
1,1,256
2,2,646
3,3,757
4,4,972
5,5,1084
6,6,1438
7,7,1642
8,8,1751
9,9,1817
10,10,1818
11,11,1818
12,12,1958
13,13,1998
14,14,2000
15,15,2001
16,16,2117
17,17,2150
18,18,2151
19,19,2151
20,20,2271
21,21,2302
22,22,2305
23,23,2305
24,24,2436
25,25,2455
26,26,2458
27,27,2481
28,28,2617
29,29,2643
30,30,2651
31,31,2729
32,32,2858
33,33,2884
34,34,2890
35,35,2893
36,36,2893
37,37,2893
38,38,2893
39,39,2926
40,40,2941
41,41,2945
42,42,2945
43,43,4249
44,44,4982
45,45,5237
46,46,5354
47,47,5420
48,48,5455
49,49,5474
50,50,5487
51,51,5495
52,52,5503
53,53,5505
54,54,5506
55,55,5507
56,56,5510
57,57,5511
58,58,5512
59,59,5512
60,60,5512
61,61,5512
62,62,5512
63,63,5512
64,64,5513
65,65,5513
66,66,5514
67,67,5514
68,68,5514
69,69,5514
70,70,5514
71,71,5514
72,72,5514
73,73,5514
74,74,5514
75,75,5514
76,76,5514
77,77,5514
78,78,5514
79,79,5514
80,80,5514
81,81,5514
82,82,5514
83,83,5514
84,84,5514
85,85,5514
86,86,5514
87,87,5514
88,88,5514
89,89,5514
90,90,5514
91,91,5514
92,92,5514
93,93,5514
94,94,5514
95,95,5514
96,96,5514
97,97,5514
98,98,5514
99,99,5514
100,100,5514
