,epoch,corpus_size
0,0,0
1,1,454
2,2,571
3,3,683
4,4,795
5,5,905
6,6,1019
7,7,1133
8,8,1243
9,9,1350
10,10,1460
11,11,1579
12,12,1684
13,13,1788
14,14,1904
15,15,2012
16,16,2131
17,17,2227
18,18,2341
19,19,2442
20,20,2548
21,21,2653
22,22,2758
23,23,2881
24,24,2982
25,25,3089
26,26,3217
27,27,3312
28,28,3422
29,29,3515
30,30,3606
31,31,3730
32,32,3827
33,33,3938
34,34,4039
35,35,4131
36,36,4227
37,37,4337
38,38,4439
39,39,4533
40,40,4609
41,41,4682
42,42,4776
43,43,4854
44,44,4943
45,45,5014
46,46,5084
47,47,5145
48,48,5187
49,49,5223
50,50,5263
51,51,5297
52,52,5317
53,53,5342
54,54,5362
55,55,5382
56,56,5404
57,57,5415
58,58,5433
59,59,5441
60,60,5448
61,61,5457
62,62,5458
63,63,5465
64,64,5469
65,65,5472
66,66,5476
67,67,5481
68,68,5485
69,69,5487
70,70,5490
71,71,5492
72,72,5492
73,73,5496
74,74,5498
75,75,5502
76,76,5505
77,77,5506
78,78,5507
79,79,5507
80,80,5509
81,81,5509
82,82,5511
83,83,5511
84,84,5511
85,85,5511
86,86,5511
87,87,5511
88,88,5511
89,89,5511
90,90,5512
91,91,5512
92,92,5512
93,93,5512
94,94,5512
95,95,5512
96,96,5512
97,97,5512
98,98,5512
99,99,5512
100,100,5512
101,101,5512
