,epoch,corpus_size
0,0,0
1,1,3685
2,2,4807
3,3,5326
4,4,5562
5,5,5692
6,6,5752
7,7,5786
8,8,5806
9,9,5813
10,10,5817
11,11,5818
12,12,5821
13,13,5821
14,14,5821
15,15,5821
16,16,5821
17,17,5821
18,18,5821
19,19,5821
20,20,5821
21,21,5821
22,22,5821
23,23,5821
24,24,5821
25,25,5821
26,26,5821
27,27,5821
28,28,5821
29,29,5821
30,30,5821
31,31,5821
32,32,5821
33,33,5821
34,34,5821
35,35,5821
36,36,5821
37,37,5821
38,38,5821
39,39,5821
40,40,5821
41,41,5821
42,42,5821
43,43,5821
44,44,5821
45,45,5821
46,46,5821
47,47,5821
48,48,5821
49,49,5821
50,50,5821
51,51,5821
52,52,5821
53,53,5821
54,54,5821
55,55,5821
56,56,5821
57,57,5821
58,58,5821
59,59,5821
60,60,5821
61,61,5821
62,62,5821
63,63,5821
64,64,5821
65,65,5821
66,66,5821
67,67,5821
68,68,5821
69,69,5821
70,70,5821
71,71,5821
72,72,5821
73,73,5821
74,74,5821
75,75,5821
76,76,5821
77,77,5821
78,78,5821
79,79,5821
80,80,5821
81,81,5821
82,82,5821
83,83,5821
84,84,5821
85,85,5821
86,86,5821
87,87,5821
88,88,5821
89,89,5821
90,90,5821
91,91,5821
92,92,5821
93,93,5821
94,94,5821
95,95,5821
96,96,5821
97,97,5821
98,98,5821
99,99,5821
100,100,5821
