,epoch,corpus_size
0,0,0
1,1,3148
2,2,4030
3,3,4442
4,4,4739
5,5,4910
6,6,5055
7,7,5145
8,8,5200
9,9,5255
10,10,5309
11,11,5339
12,12,5369
13,13,5391
14,14,5409
15,15,5423
16,16,5437
17,17,5447
18,18,5456
19,19,5462
20,20,5467
21,21,5471
22,22,5474
23,23,5477
24,24,5480
25,25,5482
26,26,5485
27,27,5486
28,28,5488
29,29,5490
30,30,5492
31,31,5493
32,32,5495
33,33,5496
34,34,5497
35,35,5497
36,36,5497
37,37,5498
38,38,5498
39,39,5498
40,40,5498
41,41,5498
42,42,5498
43,43,5498
44,44,5498
45,45,5498
46,46,5498
47,47,5499
48,48,5499
49,49,5500
50,50,5500
51,51,5500
52,52,5500
53,53,5500
54,54,5500
55,55,5500
56,56,5500
57,57,5500
58,58,5500
59,59,5502
60,60,5502
61,61,5502
62,62,5502
63,63,5502
64,64,5502
65,65,5502
66,66,5502
67,67,5502
68,68,5502
69,69,5502
70,70,5502
71,71,5502
72,72,5502
73,73,5502
74,74,5502
75,75,5502
76,76,5502
77,77,5502
78,78,5502
79,79,5502
80,80,5502
81,81,5502
82,82,5502
83,83,5502
84,84,5502
85,85,5502
86,86,5502
87,87,5502
88,88,5502
89,89,5502
90,90,5502
91,91,5502
92,92,5502
93,93,5502
94,94,5502
95,95,5502
96,96,5502
97,97,5502
98,98,5502
99,99,5502
100,100,5502
