,epoch,corpus_size
0,0,0
1,1,453
2,2,570
3,3,679
4,4,798
5,5,912
6,6,1030
7,7,1140
8,8,1247
9,9,1365
10,10,1482
11,11,1597
12,12,1708
13,13,1815
14,14,1943
15,15,2048
16,16,2167
17,17,2283
18,18,2400
19,19,2510
20,20,2627
21,21,2737
22,22,2846
23,23,2959
24,24,3077
25,25,3200
26,26,3301
27,27,3428
28,28,3533
29,29,3638
30,30,3742
31,31,3867
32,32,3961
33,33,4090
34,34,4205
35,35,4318
36,36,4438
37,37,4540
38,38,4653
39,39,4746
40,40,4862
41,41,4960
42,42,5061
43,43,5166
44,44,5251
45,45,5331
46,46,5382
47,47,5421
48,48,5444
49,49,5453
50,50,5465
51,51,5473
52,52,5481
53,53,5484
54,54,5488
55,55,5490
56,56,5495
57,57,5496
58,58,5497
59,59,5500
60,60,5500
61,61,5500
62,62,5501
63,63,5501
64,64,5501
65,65,5501
66,66,5502
67,67,5502
68,68,5502
69,69,5502
70,70,5502
71,71,5502
72,72,5502
73,73,5502
74,74,5502
75,75,5502
76,76,5502
77,77,5502
78,78,5502
79,79,5502
80,80,5502
81,81,5502
82,82,5502
83,83,5502
84,84,5502
85,85,5502
86,86,5502
87,87,5502
88,88,5502
89,89,5502
90,90,5502
91,91,5502
92,92,5502
93,93,5502
94,94,5502
95,95,5502
96,96,5502
97,97,5502
98,98,5502
99,99,5502
100,100,5502
