,epoch,corpus_size
0,0,0
1,1,285
2,2,400
3,3,513
4,4,631
5,5,740
6,6,857
7,7,965
8,8,1081
9,9,1193
10,10,1306
11,11,1415
12,12,1539
13,13,1656
14,14,1770
15,15,1886
16,16,1993
17,17,2109
18,18,2219
19,19,2348
20,20,2452
21,21,2569
22,22,2677
23,23,2784
24,24,2901
25,25,3007
26,26,3133
27,27,3241
28,28,3362
29,29,3466
30,30,3592
31,31,3698
32,32,3814
33,33,3928
34,34,4037
35,35,4152
36,36,4263
37,37,4364
38,38,4487
39,39,4587
40,40,4697
41,41,4804
42,42,4909
43,43,5017
44,44,5113
45,45,5200
46,46,5292
47,47,5358
48,48,5400
49,49,5424
50,50,5442
51,51,5456
52,52,5471
53,53,5474
54,54,5479
55,55,5482
56,56,5488
57,57,5491
58,58,5493
59,59,5497
60,60,5498
61,61,5498
62,62,5499
63,63,5499
64,64,5499
65,65,5499
66,66,5500
67,67,5500
68,68,5500
69,69,5500
70,70,5500
71,71,5500
72,72,5501
73,73,5501
74,74,5501
75,75,5501
76,76,5501
77,77,5502
78,78,5502
79,79,5502
80,80,5502
81,81,5502
82,82,5502
83,83,5502
84,84,5502
85,85,5502
86,86,5502
87,87,5502
88,88,5502
89,89,5502
90,90,5502
91,91,5502
92,92,5502
93,93,5502
94,94,5502
95,95,5502
96,96,5502
97,97,5502
98,98,5502
99,99,5502
100,100,5502
