,epoch,corpus_size
0,0,0
1,1,283
2,2,397
3,3,508
4,4,619
5,5,733
6,6,845
7,7,959
8,8,1073
9,9,1175
10,10,1281
11,11,1397
12,12,1511
13,13,1614
14,14,1732
15,15,1836
16,16,1947
17,17,2062
18,18,2175
19,19,2273
20,20,2389
21,21,2492
22,22,2599
23,23,2708
24,24,2824
25,25,2927
26,26,3025
27,27,3139
28,28,3244
29,29,3350
30,30,3460
31,31,3561
32,32,3675
33,33,3776
34,34,3867
35,35,3968
36,36,4064
37,37,4163
38,38,4254
39,39,4340
40,40,4442
41,41,4547
42,42,4641
43,43,4707
44,44,4807
45,45,4896
46,46,4979
47,47,5048
48,48,5100
49,49,5159
50,50,5207
51,51,5239
52,52,5274
53,53,5307
54,54,5320
55,55,5344
56,56,5367
57,57,5384
58,58,5397
59,59,5404
60,60,5418
61,61,5423
62,62,5426
63,63,5436
64,64,5446
65,65,5454
66,66,5461
67,67,5467
68,68,5468
69,69,5471
70,70,5479
71,71,5480
72,72,5482
73,73,5482
74,74,5484
75,75,5486
76,76,5487
77,77,5489
78,78,5491
79,79,5492
80,80,5493
81,81,5493
82,82,5493
83,83,5493
84,84,5495
85,85,5495
86,86,5497
87,87,5497
88,88,5498
89,89,5498
90,90,5499
91,91,5499
92,92,5499
93,93,5499
94,94,5499
95,95,5499
96,96,5499
97,97,5499
98,98,5500
99,99,5500
100,100,5500
