,epoch,corpus_size
0,0,0
1,1,547
2,2,572
3,3,679
4,4,795
5,5,906
6,6,1024
7,7,1130
8,8,1241
9,9,1346
10,10,1464
11,11,1583
12,12,1697
13,13,1803
14,14,1921
15,15,2021
16,16,2139
17,17,2253
18,18,2359
19,19,2473
20,20,2574
21,21,2692
22,22,2802
23,23,2912
24,24,3011
25,25,3118
26,26,3227
27,27,3322
28,28,3441
29,29,3542
30,30,3657
31,31,3758
32,32,3865
33,33,3968
34,34,4075
35,35,4177
36,36,4283
37,37,4389
38,38,4478
39,39,4569
40,40,4666
41,41,4755
42,42,4839
43,43,4937
44,44,5024
45,45,5104
46,46,5165
47,47,5209
48,48,5246
49,49,5284
50,50,5316
51,51,5351
52,52,5376
53,53,5395
54,54,5412
55,55,5425
56,56,5436
57,57,5439
58,58,5449
59,59,5456
60,60,5464
61,61,5475
62,62,5479
63,63,5482
64,64,5486
65,65,5487
66,66,5489
67,67,5490
68,68,5492
69,69,5493
70,70,5494
71,71,5494
72,72,5495
73,73,5495
74,74,5497
75,75,5498
76,76,5499
77,77,5499
78,78,5499
79,79,5499
80,80,5499
81,81,5500
82,82,5500
83,83,5500
84,84,5502
85,85,5502
86,86,5502
87,87,5502
88,88,5502
89,89,5502
90,90,5502
91,91,5502
92,92,5502
93,93,5502
94,94,5502
95,95,5502
96,96,5502
97,97,5502
98,98,5502
99,99,5502
100,100,5502
