,epoch,corpus_size
0,0,0
1,1,91
2,2,95
3,3,99
4,4,101
5,5,104
6,6,106
7,7,106
8,8,108
9,9,111
10,10,117
11,11,118
12,12,124
13,13,126
14,14,132
15,15,136
16,16,140
17,17,142
18,18,147
19,19,149
20,20,160
21,21,166
22,22,168
23,23,170
24,24,178
25,25,182
26,26,187
27,27,193
28,28,199
29,29,212
30,30,221
31,31,228
32,32,236
33,33,249
34,34,265
35,35,271
36,36,286
37,37,302
38,38,319
39,39,334
40,40,351
41,41,372
42,42,411
43,43,443
44,44,486
45,45,538
46,46,611
47,47,722
48,48,834
49,49,1088
50,50,1729
51,51,3169
52,52,3919
53,53,4359
54,54,4640
55,55,4824
56,56,4973
57,57,5066
58,58,5150
59,59,5202
60,60,5245
61,61,5286
62,62,5311
63,63,5338
64,64,5361
65,65,5379
66,66,5393
67,67,5406
68,68,5421
69,69,5433
70,70,5443
71,71,5450
72,72,5455
73,73,5462
74,74,5466
75,75,5471
76,76,5479
77,77,5486
78,78,5488
79,79,5489
80,80,5495
81,81,5496
82,82,5500
83,83,5500
84,84,5501
85,85,5501
86,86,5502
87,87,5504
88,88,5504
89,89,5505
90,90,5506
91,91,5507
92,92,5507
93,93,5507
94,94,5508
95,95,5509
96,96,5509
97,97,5509
98,98,5509
99,99,5509
100,100,5509
101,101,5509
