word,wf_at_epoch_1,wf_at_epoch_2,wf_at_epoch_3,wf_at_epoch_4,wf_at_epoch_5,wf_at_epoch_6,wf_at_epoch_7,wf_at_epoch_8,wf_at_epoch_9,wf_at_epoch_10,wf_at_epoch_11,wf_at_epoch_12,wf_at_epoch_13,wf_at_epoch_14,wf_at_epoch_15,wf_at_epoch_16,wf_at_epoch_17,wf_at_epoch_18,wf_at_epoch_19,wf_at_epoch_20,wf_at_epoch_21,wf_at_epoch_22,wf_at_epoch_23,wf_at_epoch_24,wf_at_epoch_25,wf_at_epoch_26,wf_at_epoch_27,wf_at_epoch_28,wf_at_epoch_29,wf_at_epoch_30,wf_at_epoch_31,wf_at_epoch_32,wf_at_epoch_33,wf_at_epoch_34,wf_at_epoch_35,wf_at_epoch_36,wf_at_epoch_37,wf_at_epoch_38,wf_at_epoch_39,wf_at_epoch_40,wf_at_epoch_41,wf_at_epoch_42,wf_at_epoch_43,wf_at_epoch_44,wf_at_epoch_45,wf_at_epoch_46,wf_at_epoch_47,wf_at_epoch_48,wf_at_epoch_49,wf_at_epoch_50,wf_at_epoch_51,wf_at_epoch_52,wf_at_epoch_53,wf_at_epoch_54,wf_at_epoch_55,wf_at_epoch_56,wf_at_epoch_57,wf_at_epoch_58,wf_at_epoch_59,wf_at_epoch_60,wf_at_epoch_61,wf_at_epoch_62,wf_at_epoch_63,wf_at_epoch_64,wf_at_epoch_65,wf_at_epoch_66,wf_at_epoch_67,wf_at_epoch_68,wf_at_epoch_69,wf_at_epoch_70,wf_at_epoch_71,wf_at_epoch_72,wf_at_epoch_73,wf_at_epoch_74,wf_at_epoch_75,wf_at_epoch_76,wf_at_epoch_77,wf_at_epoch_78,wf_at_epoch_79,wf_at_epoch_80,wf_at_epoch_81,wf_at_epoch_82,wf_at_epoch_83,wf_at_epoch_84,wf_at_epoch_85,wf_at_epoch_86,wf_at_epoch_87,wf_at_epoch_88,wf_at_epoch_89,wf_at_epoch_90,wf_at_epoch_91,wf_at_epoch_92,wf_at_epoch_93,wf_at_epoch_94,wf_at_epoch_95,wf_at_epoch_96,wf_at_epoch_97,wf_at_epoch_98,wf_at_epoch_99,wf_at_epoch_100,wf_at_epoch_101,wf_at_epoch_102
a,0,105,223,324,417,515,601,696,784,864,958,1042,1119,1205,1291,1365,1442,1520,1598,1661,1732,1800,1869,1932,1990,2057,2112,2183,2245,2289,2334,2386,2423,2468,2515,2559,2609,2650,2694,2733,2764,2796,2825,2868,2900,2922,2950,2973,2998,3024,3037,3053,3074,3084,3094,3104,3116,3128,3144,3162,3176,3189,3196,3213,3225,3242,3257,3271,3277,3289,3307,3331,3341,3361,3377,3390,3408,3423,3444,3464,3481,3500,3519,3533,3551,3565,3579,3593,3605,3622,3645,3663,3676,3692,3705,3717,3737,3751,3764,3784,3795,3808
ace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,8,9,11,14,14,14,14,16,16,17,17,17,19,20,22,23,24,24,25,28,28,30,31,33,35,35,36,36,38,40,41,41,42,42,42,42,43,43,44,46,50,50,51,51,51,52,54
ache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,4,4,5,5,5,6,6,6,7,8,8,8,8,8,10,12,12,12,12,12,13,13,13,13,14,15,15,16,16,16,17,17,17,18,19,19,19,19,19
ached,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9
aches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,4,4,4,4,4,4,4,7,7,8,8,8,8,10,11,12,14,14,16,16,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,19,21,22,23,23
act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,46,65,86,103,118,132,150,161,178,188,196,205,210,221,230,236,244,250,259,266,274,277,287,296,303,312,317,324,332,337,343,347,359,365,375,390,399,407,412,419,427,437,442,449,466,475,478,483,493,500,502,511,516,522,530,536,545,547,551,560,564,573
acts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,12,16,17,24,26,29,32,35,39,43,45,46,49,51,51,55,59,59,64,66,71,73,78,81,84,87,90,94,97,100,102,105,108,108,113,114,116,118,122,123,124,125,126,129,132,134,135,136,141,144
ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,36,46,57,65,79,87,88,94,100,104,108,110,113,118,123,131,137,146,152,158,161,167,172,180,187,193,202,207,215,218,224,229,239,245,251,257,262,264,267,275,280,287,292,298,303,310,318,323,329,335,341,348,354,358,365,374,381
add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,26,35,42,50,56,58,60,70,78,84,90,97,99,103,106,113,117,122,125,128,134,139,140,148,154,157,159,168,171,175,183,189,193,201,203,210,219,220,226,232,237,244,248,253,258,263,264,271,275,280,289,289,296,301,306
adds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,62,72,89,97,113,124,133,144,156,168,178,182,193,198,204,211,222,230,239,243,250,259,271,277,283,287,295,304,313,318,324,329,336,339,344,351,360,364,372,378,387,395,402,409,417,423,430,437,449,453,457,466,479,484,487,492,502,509,514,516
