,id,cond,word,pseudoword,word_head,word_body,pseudoword_head,pseudoword_body,word_pho_head,word_pho_body,nw_pho_head,nw_pho_body,word_pho_head_chk,word_pho_body_chk,nw_all_p,w_all_o,nw_all_o,w_all_p
0,0,Exception,both,coth,b,oth,c,oth,b,oT,['k'],"['aT', 'oT']",['b'],"['aT', 'oT']","['__kaT_____', '__koT_____']",___bo_th______,___co_th______,__boT_____
1,1,Exception,been,heen,b,een,h,een,b,in,['h'],['in'],['b'],['in'],['__hin_____'],___been_______,___heen_______,__bin_____
2,2,Exception,blood,drood,bl,ood,dr,ood,bl,^d,['dr'],"['ud', 'Ud', '^d']",['bl'],"['ud', 'Ud', '^d']","['_drud_____', '_drUd_____', '_dr^d_____']",__blood_______,__drood_______,_bl^d_____
3,3,Exception,bread,shead,br,ead,sh,ead,br,Ed,['S'],"['Ed', 'id']",['br'],"['Ed', 'id']","['__SEd_____', '__Sid_____']",__bread_______,__shead_______,_brEd_____
4,4,Exception,bull,wull,b,ull,w,ull,b,Ul,['w'],"['^l', 'Ul']",['b'],"['^l', 'Ul']","['__w^l_____', '__wUl_____']",___bu_ll______,___wu_ll______,__bUl_____
5,5,Exception,bush,nush,b,ush,n,ush,b,US,['n'],"['^S', 'US']",['b'],"['^S', 'US']","['__n^S_____', '__nUS_____']",___bu_sh______,___nu_sh______,__bUS_____
6,6,Exception,comb,pomb,c,omb,p,omb,k,om,['p'],"['um', 'am', 'om']",['k'],"['um', 'am', 'om']","['__pum_____', '__pam_____', '__pom_____']",___co_mb______,___po_mb______,__kom_____
7,7,Exception,come,gome,c,ome,g,ome,k,^m,['g'],"['om', '^m']",['k'],"['om', '^m']","['__gom_____', '__g^m_____']",___co_me______,___go_me______,__k^m_____
8,8,Exception,dead,fead,d,ead,f,ead,d,Ed,['f'],"['Ed', 'id']",['d'],"['Ed', 'id']","['__fEd_____', '__fid_____']",___dead_______,___fead_______,__dEd_____
9,9,Exception,deaf,heaf,d,eaf,h,eaf,d,Ef,['h'],"['if', 'Ef']",['d'],"['if', 'Ef']","['__hif_____', '__hEf_____']",___deaf_______,___heaf_______,__dEf_____
10,10,Exception,dread,blead,dr,ead,bl,ead,dr,Ed,['bl'],"['Ed', 'id']",['dr'],"['Ed', 'id']","['_blEd_____', '_blid_____']",__dread_______,__blead_______,_drEd_____
11,11,Exception,done,mone,d,one,m,one,d,^n,['m'],"['on', '^n']",['d'],"['on', '^n']","['__mon_____', '__m^n_____']",___do_ne______,___mo_ne______,__d^n_____
12,12,Exception,foot,poot,f,oot,p,oot,f,Ut,['p'],"['ut', 'Ut']",['f'],"['ut', 'Ut']","['__put_____', '__pUt_____']",___foot_______,___poot_______,__fUt_____
13,13,Exception,good,sood,g,ood,s,ood,g,Ud,['s'],"['ud', 'Ud', '^d']",['g'],"['ud', 'Ud', '^d']","['__sud_____', '__sUd_____', '__s^d_____']",___good_______,___sood_______,__gUd_____
14,14,Exception,great,steat,gr,eat,st,eat,gr,et,['st'],"['it', 'Et', 'et']",['gr'],"['it', 'Et', 'et']","['_stit_____', '_stEt_____', '_stet_____']",__great_______,__steat_______,_gret_____
15,15,Exception,have,tave,h,ave,t,ave,h,@v,['t'],"['ev', 'av', '@v']",['h'],"['ev', 'av', '@v']","['__tev_____', '__tav_____', '__t@v_____']",___ha_ve______,___ta_ve______,__h@v_____
16,16,Exception,head,wead,h,ead,w,ead,h,Ed,['w'],"['Ed', 'id']",['h'],"['Ed', 'id']","['__wEd_____', '__wid_____']",___head_______,___wead_______,__hEd_____
17,17,Exception,hood,bood,h,ood,b,ood,h,Ud,['b'],"['ud', 'Ud', '^d']",['h'],"['ud', 'Ud', '^d']","['__bud_____', '__bUd_____', '__b^d_____']",___hood_______,___bood_______,__hUd_____
18,18,Exception,hoof,moof,h,oof,m,oof,h,Uf,['m'],"['uf', 'Uf']",['h'],"['uf', 'Uf']","['__muf_____', '__mUf_____']",___hoof_______,___moof_______,__hUf_____
19,19,Exception,lose,cose,l,ose,c,ose,l,uz,['k'],"['oz', 'os', 'uz']",['l'],"['oz', 'os', 'uz']","['__koz_____', '__kos_____', '__kuz_____']",___lo_se______,___co_se______,__luz_____
20,20,Exception,love,hove,l,ove,h,ove,l,^v,['h'],"['ov', '^v', 'uv']",['l'],"['ov', '^v', 'uv']","['__hov_____', '__h^v_____', '__huv_____']",___lo_ve______,___ho_ve______,__l^v_____
21,21,Exception,mild,bild,m,ild,b,ild,m,Ald,['b'],"['Ald', 'Ild']",['m'],"['Ald', 'Ild']","['__bAld____', '__bIld____']",___mi_ld______,___bi_ld______,__mAld____
22,22,Exception,move,pove,m,ove,p,ove,m,uv,['p'],"['ov', '^v', 'uv']",['m'],"['ov', '^v', 'uv']","['__pov_____', '__p^v_____', '__puv_____']",___mo_ve______,___po_ve______,__muv_____
23,23,Exception,most,sost,m,ost,s,ost,m,ost,['s'],"['ost', 'ast']",['m'],"['ost', 'ast']","['__sost____', '__sast____']",___mo_st______,___so_st______,__most____
24,24,Exception,none,wone,n,one,w,one,n,^n,['w'],"['on', '^n']",['n'],"['on', '^n']","['__won_____', '__w^n_____']",___no_ne______,___wo_ne______,__n^n_____
25,25,Exception,pint,bint,p,int,b,int,p,Ant,['b'],"['Int', 'Ant']",['p'],"['Int', 'Ant']","['__bInt____', '__bAnt____']",___pi_nt______,___bi_nt______,__pAnt____
26,26,Exception,plaid,praid,pl,aid,pr,aid,pl,@d,['pr'],"['ed', 'Ed', '@d']",['pl'],"['ed', 'Ed', '@d']","['_pred_____', '_prEd_____', '_pr@d_____']",__plaid_______,__praid_______,_pl@d_____
27,27,Exception,post,bost,p,ost,b,ost,p,ost,['b'],"['ost', 'ast']",['p'],"['ost', 'ast']","['__bost____', '__bast____']",___po_st______,___bo_st______,__post____
28,28,Exception,push,wush,p,ush,w,ush,p,US,['w'],"['^S', 'US']",['p'],"['^S', 'US']","['__w^S_____', '__wUS_____']",___pu_sh______,___wu_sh______,__pUS_____
29,29,Exception,prove,brove,pr,ove,br,ove,pr,uv,['br'],"['ov', '^v', 'uv']",['pr'],"['ov', '^v', 'uv']","['_brov_____', '_br^v_____', '_bruv_____']",__pro_ve______,__bro_ve______,_pruv_____
30,30,Exception,pull,sull,p,ull,s,ull,p,Ul,['s'],"['^l', 'Ul']",['p'],"['^l', 'Ul']","['__s^l_____', '__sUl_____']",___pu_ll______,___su_ll______,__pUl_____
