,cond,word,ort,pho,wf
0,High-frequency exception,are,____a_re______,___ar_____,177808
1,High-frequency exception,both,___bo_th______,__boT_____,25695
2,High-frequency exception,break,__break_______,_brek_____,3571
3,High-frequency exception,choose,__choose______,__Cuz_____,1619
4,High-frequency exception,come,___co_me______,__k^m_____,12950
5,High-frequency exception,do,___do_________,__du______,27937
6,High-frequency exception,does,___does_______,__d^z_____,8595
7,High-frequency exception,done,___do_ne______,__d^n_____,6760
8,High-frequency exception,foot,___foot_______,__fUt_____,1258
9,High-frequency exception,give,___gi_ve______,__gIv_____,12773
10,High-frequency exception,great,__great_______,_gret_____,8781
11,High-frequency exception,have,___ha_ve______,__h@v_____,165137
12,High-frequency exception,move,___mo_ve______,__muv_____,15270
13,High-frequency exception,put,___pu_t_______,__pUt_____,13638
14,High-frequency exception,pull,___pu_ll______,__pUl_____,1259
15,High-frequency exception,said,___said_______,__sEd_____,345647
16,High-frequency exception,says,___says_______,__sEz_____,111942
17,High-frequency exception,shall,__sha_ll______,__S@l_____,462
18,High-frequency exception,want,___wa_nt______,__want____,14241
19,High-frequency exception,watch,___wa_tch_____,__watC____,1793
20,High-frequency exception,were,___we_re______,__w^r_____,86582
21,High-frequency exception,what,__wha_t_______,__w^t_____,38782
22,High-frequency exception,word,___wo_rd______,__w^rd____,2853
23,High-frequency exception,work,___wo_rk______,__w^rk____,22012
24,High-frequency regular-inconsistent,base,___ba_se______,__bes_____,6018
25,High-frequency regular-inconsistent,bone,___bo_ne______,__bon_____,395
26,High-frequency regular-inconsistent,but,___bu_t_______,__b^t_____,174118
27,High-frequency regular-inconsistent,catch,___ca_tch_____,__k@tC____,1168
28,High-frequency regular-inconsistent,cool,___cool_______,__kul_____,770
29,High-frequency regular-inconsistent,days,___days_______,__dez_____,18406
30,High-frequency regular-inconsistent,dear,___dear_______,__dir_____,245
31,High-frequency regular-inconsistent,flew,__flew________,_flu______,671
32,High-frequency regular-inconsistent,flat,__fla_t_______,_fl@t_____,2476
33,High-frequency regular-inconsistent,five,___fi_ve______,__fAv_____,20929
34,High-frequency regular-inconsistent,form,___fo_rm______,__form____,5838
