"V1","word","wf","img","os","ps","ons","pns","op_uncond","op_coda","op_onset","log_wf","log_ons","log_pns","word_length"
0,"a",1100290,NA,0.0692487297694978,0.125606659501745,38,41,NA,NA,NA,6.04150756059513,1.5910646070265,1.6232492903979,1
1,"ace",117,4.5,-0.0001633479226921,-0.0156286340177986,23,34,0.02936885,0,0,2.07188200730613,1.38021124171161,1.54406804435028,3
2,"ache",27,3.8,0.0623256032518209,0.118068079128266,10,7,4.9856337108298,1.58496250072116,3.88264304936184,1.44715803134222,1.04139268515822,0.903089986991944,4
3,"ached",3,NA,0.157490119151007,0.0365614402510004,5,20,4.9856337108298,1,3.88264304936184,0.602059991327962,0.778151250383644,1.32221929473392,5
4,"aches",23,NA,0.0214328846585616,0.0517117824375181,9,3,4.9856337108298,0,3.88264304936184,1.38021124171161,1,0.602059991327962,5
5,"act",7449,3.5,0.0423580319366421,0.0251802723732065,13,31,0.275751354691359,0,0.238786859587117,3.87215627274829,1.14612803567824,1.50514997831991,3
6,"acts",1017,NA,0.0891044781905216,0.108022810164502,9,12,0.275751354691359,0,0.238786859587117,3.00774777800074,1,1.11394335230684,4
7,"ad",4769,4.1,0.0309541955972598,0.0175647490287396,36,37,0.275751354691359,0.201633861169651,0.238786859587117,3.67851837904011,1.56820172406699,1.57978359661681,2
8,"add",3585,3.3,0.028826113173636,0.0241781719387516,12,37,0.275751354691359,0,0.238786859587117,3.55461028522616,1.11394335230684,1.57978359661681,3
9,"adds",6648,NA,0.0455398475221289,0.0331789638416944,7,29,0.275751354691359,0,0.238786859587117,3.82275633295139,0.903089986991944,1.47712125471966,4
10,"ads",3416,NA,0.0389358826575543,0.0681794979743922,21,29,0.275751354691359,0.234465253637023,0.238786859587117,3.53364497879876,1.34242268082221,1.47712125471966,3
11,"aft",36,1.6,0.0633979907062472,0.0017222467609061,13,17,0.275751354691359,0.15200309344505,0.238786859587117,1.56820172406699,1.14612803567824,1.25527250510331,3
12,"age",4993,3.4,0.051896787658698,0.0001637184061827,23,22,0.02936885,0,0,3.69844853801533,1.38021124171161,1.36172783601759,3
13,"aid",6163,3.5,0.0130830274252649,-0.0003646334357703,29,47,0.1255309,0.3625701,0.3870231,3.78986263004638,1.47712125471966,1.68124123737559,3
14,"aide",1988,2.5,0.0289997770307893,0.150210602606619,19,6,0.1255309,0,0.3870231,3.29863478312444,1.30102999566398,0.845098040014257,4
15,"aides",2228,NA,0.0497944912849669,0.288602308983123,15,3,0.1255309,0,0.3870231,3.34811006848024,1.20411998265592,0.602059991327962,5
16,"aids",5741,NA,0.0299661592253711,0.0312640436956605,20,34,0.1255309,0.2630344,0.3870231,3.75906318816049,1.32221929473392,1.54406804435028,4
17,"ail",39,1.9,NA,NA,27,90,0.1255309,0,0.3870231,1.60205999132796,1.44715803134222,1.95904139232109,3
18,"ailed",2,NA,NA,NA,NA,NA,0.1255309,0,0.3870231,0.477121254719662,NA,NA,5
19,"ails",24,NA,NA,NA,NA,NA,0.1255309,0,0.3870231,1.39794000867204,NA,NA,4
20,"aim",947,3.9,0.0272027624537649,0.0416465033562733,17,38,0.1255309,0,0.3870231,2.97680833733807,1.25527250510331,1.5910646070265,3
21,"aimed",3295,NA,0.006557593060476,0.0379255367180142,10,19,0.1255309,0,0.3870231,3.51798720302508,1.04139268515822,1.30102999566398,5
22,"aims",619,NA,0.0241196937002037,0.0257169392161526,14,25,0.1255309,0,0.3870231,2.79239168949825,1.17609125905568,1.41497334797082,4
23,"air",15555,4,0.0081138303307339,0.0001033169396362,18,62,0,0,0,4.19189793447542,1.27875360095283,1.79934054945358,3
24,"airs",89,NA,0.0572158662615717,0.010552031184654,14,63,0,0,0,1.95424250943932,1.17609125905568,1.80617997398389,4
25,"aisle",81,5.3,0.181636380456346,0.241090680226248,4,4,4.13245,0,2.5025,1.91381385238372,0.698970004336019,0.698970004336019,5
26,"aisles",75,NA,NA,NA,NA,NA,4.13245,0,2.5025,1.88081359228079,NA,NA,6
27,"ale",92,4,0.0412783584607034,0.0119536071671248,39,90,0.02936885,0,0,1.96848294855394,1.60205999132796,1.95904139232109,3
28,"ales",9,NA,NA,NA,NA,NA,0.02936885,0,0,1,NA,NA,4
29,"all",62510,2.3,0.003940424054852,0.0161650692571241,21,74,4.510296,0.09953567,4.882643,4.79595644644733,1.34242268082221,1.8750612633917,3
30,"alms",9,2.3,-0.0047712541152546,0.0813969386684364,11,5,3.40067121010864,0,4.29768054864068,1,1.07918124604762,0.778151250383644,4
31,"alp",3,2.7,NA,NA,12,14,0.2757514,0,0.2387869,0.602059991327962,1.11394335230684,1.17609125905568,3
32,"alps",64,NA,0.0107869060649248,-0.0329518080048421,8,8,0.2757514,0,0.2387869,1.81291335664286,0.954242509439325,0.954242509439325,4
33,"am",6097,1.8,0.0237679943918459,0.0035475719014792,34,18,0.2757514,0.1468414,0.2387869,3.78518742002936,1.54406804435028,1.27875360095283,2
34,"amp",58,NA,0.0678601059940493,0.115955304209656,16,15,0.2757514,0.2064509,0.2387869,1.77085201164214,1.23044892137827,1.20411998265592,3
35,"an",182440,1.2,0.0675568861419574,0.113552719431009,36,34,0.275751354691359,0.199308808223407,0.238786859587117,5.26112244404079,1.56820172406699,1.54406804435028,2
36,"and",909157,1.3,0.0450997096242613,0.0553468730331005,17,9,0.275751354691359,0.115477217419936,0.238786859587117,5.95863936459192,1.25527250510331,1,3
37,"angst",68,NA,NA,NA,NA,NA,3.40067121010864,0,4.29768054864068,1.83884909073726,NA,NA,5
38,"ant",18,6.7,0.0505307988789295,0.0562530937654243,22,28,0.275751354691359,0.0931094043914815,0.238786859587117,1.27875360095283,1.36172783601759,1.46239799789896,3
39,"ants",29,NA,0.059496320239045,0.112838824687923,16,14,0.275751354691359,0.206450877467426,0.238786859587117,1.47712125471966,1.23044892137827,1.17609125905568,4
40,"ape",18,6.8,0.0560759138780445,0.0576273646656777,24,29,0.02936885,0,0,1.27875360095283,1.39794000867204,1.47712125471966,3
41,"apes",10,NA,NA,NA,NA,NA,0.02936885,0,0,1.04139268515822,NA,NA,4
42,"apse",1,1.3,-0.0198786899574255,-0.0108388104224356,6,2,0.275751354691359,0,0.238786859587117,0.301029995663981,0.845098040014257,0.477121254719662,4
43,"apt",239,1.9,0.0286150333174084,0.0212912121493583,10,22,0.275751354691359,0,0.238786859587117,2.38021124171161,1.04139268515822,1.36172783601759,3
44,"arc",245,5,0.0262751946733975,0.0133377629518906,10,34,0.2206881,0,0,2.39093510710338,1.04139268515822,1.54406804435028,3
45,"arch",184,5.1,-0.0358921260678478,0.0234466023854182,6,18,0.2206881,0,0,2.26717172840301,0.845098040014257,1.27875360095283,4
46,"arcs",16,NA,0.043030456735063,0.0174457517110459,10,25,0.2206881,0,0,1.23044892137827,1.04139268515822,1.41497334797082,4
47,"are",177808,1.3,-0.00901039465826,0.0231713671731892,36,34,4.882643,4.321928,0,5.24995373948805,1.56820172406699,1.54406804435028,3
48,"ark",446,5.7,-0.0082414912347915,0.0049044633871974,19,34,0.2206881,0,0,2.65030752313194,1.30102999566398,1.54406804435028,3
49,"arks",4,NA,NA,NA,NA,NA,0.2206881,0,0,0.698970004336019,NA,NA,4
