D_word,O-S consistency,P-S consistency,O-S consistency: GLoVe,P-S consistency: GLoVe,orth neighborhood size,phon neighborhood size
a,0.0692487297694978,0.125606659501745,0.126378197251316,0.117104172482538,38,41
aaron,0.0150188073141391,-0.000545228182367503,0.0531925608501509,0.0551914594852774,3,28
aback,-0.0458427167412646,-0.00432300842835813,-0.014948621619393,0.0179344480916677,2,4
abandon,0.130018314273607,0.205304446498493,0.500738066902807,0.532369893858717,1,2
abandoned,NA,0.115191560018901,NA,0.420221887864672,0,2
abasement,0.0188909967341543,0.0188909967341543,-0.0162645668565807,-0.0162645668565807,2,2
abash,-0.00266577234405124,0.0380057943909693,NA,NA,5,3
abate,0.0273747046340369,0.00926034409964876,0.153948011914912,0.061005779156274,6,10
abated,0.0283083334500719,0.0642887592856827,0.214523400521487,0.096412768020293,5,8
abbess,-0.165013338786882,0.0457796592348977,0.406190254859405,0.228508583543911,2,9
abbey,0.041072754256359,0.0182151587577248,0.151828440987901,0.0318791728056774,4,28
abbot,0.0978572917975882,0.0289521055478237,0.340130127751109,0.11247916227433,2,14
abbreviate,0.345969211171877,NA,0.297551259544848,0.365453687220874,2,1
abbreviated,0.345969211171877,NA,0.199687384946377,NA,2,0
abbreviation,0.579751776244412,0.579751776244412,0.546087390101758,0.546087390101758,1,1
abbreviations,0.579751776244412,0.579751776244412,0.546087390101758,0.546087390101758,1,1
abdicate,0.0173373123978084,-0.0175829349301171,0.570808979389705,0.462397837751362,2,1
abdomen,0.505507909017319,0.505507909017319,0.323016049454665,0.323016049454665,1,1
abduct,0.761209987392447,0.761209987392447,0.286520829103128,0.268169507848156,2,4
abduction,0.829998431869494,0.829998431869494,0.45368166227117,0.45368166227117,2,2
abe,-0.00966374826428861,-0.0167392004031518,0.0235465340487866,0.00979841475006351,22,21
abed,0.0440319824225208,0.0282721225938454,0.0601403646099899,0.018485550023181,9,7
abel,-0.000477395962725146,0.0391428155661976,0.055006245505833,0.00617765333406962,10,6
