idx,word,ort,pho,wf (Should be some transformation of word frequency)
135,bass,___ba_ss______,__b@s_____,0.560357
136,bass,___ba_ss______,__b@s_____,0.560357
170,beat,___beat_______,__bit_____,1
171,beat,___beat_______,__bit_____,1
211,bet,___be_t_______,__bEt_____,0.560357
212,bet,___be_t_______,__bEt_____,0.560357
625,cast,___ca_st______,__k@st____,0.538516
626,cast,___ca_st______,__k@st____,0.538516
870,close,__clo_se______,_klos_____,1
871,close,__clo_se______,_klos_____,1
872,closed,__clo_sed_____,_klozd____,1
873,closed,__clo_sed_____,_klozd____,1
978,corps,___co_rps_____,__kor_____,0.148324
979,corps,___co_rps_____,__kor_____,0.148324
1159,cut,___cu_t_______,__k^t_____,1
1160,cut,___cu_t_______,__k^t_____,1
1235,deer,___deer_______,__dir_____,0.794984
1236,deer,___deer_______,__dir_____,0.794984
1496,elk,____e_lk______,___Elk____,0.219089
1497,elk,____e_lk______,___Elk____,0.219089
1643,fish,___fi_sh______,__fIS_____,1
1644,fish,___fi_sh______,__fIS_____,1
1647,fit,___fi_t_______,__fIt_____,0.960208
1648,fit,___fi_t_______,__fIt_____,0.960208
1811,fowl,___fowl_______,__fWl_____,0.219089
1812,fowl,___fowl_______,__fWl_____,0.219089
1833,french,__fre_nch_____,_frEnC____,0.05
1834,french,__fre_nch_____,_frEnC____,0.05
2402,hit,___hi_t_______,__hIt_____,1
2403,hit,___hi_t_______,__hIt_____,1
2452,hops,___ho_ps______,__haps____,0.214476
2453,hops,___ho_ps______,__haps____,0.214476
2454,hops,___ho_ps______,__haps____,0.214476
2503,hurt,___hu_rt______,__h^rt____,0.956033
2504,hurt,___hu_rt______,__h^rt____,0.956033
2701,knit,__kni_t_______,__nIt_____,0.240832
2702,knit,__kni_t_______,__nIt_____,0.240832
2802,leaves,___leaves_____,__livz____,1
2803,leaves,___leaves_____,__livz____,1
2814,left,___le_ft______,__lEft____,1
2815,left,___le_ft______,__lEft____,1
2831,let,___le_t_______,__lEt_____,1
2832,let,___le_t_______,__lEt_____,1
2881,lives,___li_ves_____,__lAvz____,1
2882,lives,___li_ves_____,__lAvz____,1
3175,moose,___moose______,__mus_____,0.32249
3176,moose,___moose______,__mus_____,0.32249
3351,nuts,___nu_ts______,__n^ts____,0.53479
3352,nuts,___nu_ts______,__n^ts____,0.53479
3438,pants,___pa_nts_____,__p@nts___,0.392428
3439,pants,___pa_nts_____,__p@nts___,0.392428
3440,pants,___pa_nts_____,__p@nts___,0.392428
3843,put,___pu_t_______,__pUt_____,1
3844,put,___pu_t_______,__pUt_____,1
3897,quit,__qui_t_______,_kwIt_____,0.371484
3898,quit,__qui_t_______,_kwIt_____,0.371484
3973,red,___re_d_______,__rEd_____,1
3974,red,___re_d_______,__rEd_____,1
4249,scours,__scours______,_skWrz____,0.05
4250,scours,__scours______,_skWrz____,0.05
4345,set,___se_t_______,__sEt_____,1
4346,set,___se_t_______,__sEt_____,1
4398,shed,__she_d_______,__SEd_____,0.511859
4399,shed,__she_d_______,__SEd_____,0.511859
4403,sheep,__sheep_______,__Sip_____,0.963328
4404,sheep,__sheep_______,__Sip_____,0.963328
4475,shrimp,_shri_mp______,_SrImp____,0.240832
4476,shrimp,_shri_mp______,_SrImp____,0.240832
4496,shut,__shu_t_______,__S^t_____,0.75233
4497,shut,__shu_t_______,__S^t_____,0.75233
4531,sioux,___sioux______,__su______,0.05
4532,sioux,___sioux______,__su______,0.05
4964,squash,_squa_sh______,skwaS_____,0.309839
4965,squash,_squa_sh______,skwaS_____,0.309839
5476,thrust,_thru_st______,_Tr^st____,0.513809
5477,thrust,_thru_st______,_Tr^st____,0.513809
5897,was,___wa_s_______,__w^z_____,1
5898,was,___wa_s_______,__w^z_____,1
5931,wed,___we_d_______,__wEd_____,0.161245
5932,wed,___we_d_______,__wEd_____,0.161245
