,word,ort,pho,wf,frequency,pho_consistency,imageability,img,output,acc,sse_slot1,sse_slot2,sse_slot3,sse_slot4,sse_slot5,sse_slot6,sse_slot7,sse_slot8,sse_slot9,sse_slot10,sse,model,noise
0,ball,__ba_ll___,__bal_____,1393,HF,INC,HI,6.6,__bal_____,1,0.06603700000000001,0.048893,0.032332,0.053512000000000004,0.037507000000000006,0.042659,0.058998999999999996,0.06839300000000001,0.067143,0.06836999999999999,0.543845,64195158,0
1,bank,__ba_nk___,__b@nk____,53170,HF,CON,HI,6.1,__b@nk____,1,0.060507000000000005,0.04312799999999999,0.039132000000000014,0.052524,0.03873800000000001,0.037854000000000006,0.058906999999999994,0.063937,0.06257199999999999,0.067238,0.524537,64195158,0
2,beach,__beach___,__biC_____,1691,HF,CON,HI,6.5,__biC_____,1,0.062116000000000005,0.04094,0.03261499999999999,0.040812,0.113224,0.029483999999999996,0.048838000000000006,0.051498999999999996,0.049437,0.055301,0.524266,64195158,0
3,beak,__beak____,__bik_____,10,LF,INC,HI,5.2,__bik_____,1,0.060782,0.039258999999999995,0.027209999999999998,0.05286099999999999,0.03463700000000001,0.033201999999999995,0.052704,0.05257300000000001,0.048001,0.05398,0.455209,64195158,0
4,beard,__beard___,__bird____,210,LF,INC,HI,6.3,__bird____,1,0.076465,0.051841,0.04946100000000002,0.570811,0.04673800000000001,0.051343000000000014,0.09211699999999999,0.074553,0.074181,0.07875700000000001,1.1662670000000002,64195158,0
5,bed,__be_d____,__bEd_____,665,HF,CON,HI,6.6,__bEd_____,1,0.07019,0.05268300000000001,0.03205200000000001,0.062619,0.04638100000000001,0.041241,0.054133,0.06740600000000001,0.063657,0.064497,0.5548590000000001,64195158,0
6,blink,_bli_nk___,_blInk____,53,LF,CON,LI,5.5,_blInk____,1,0.106305,0.11108099999999999,0.049567,0.071208,0.062109000000000004,0.07289200000000001,0.07889100000000002,0.11047400000000002,0.111868,0.110469,0.8848640000000001,64195158,0
7,block,_blo_ck___,_blak_____,4366,HF,CON,LI,5.7,_blak_____,1,0.114303,0.12519,0.058341000000000004,0.081976,0.07702300000000001,0.071378,0.084986,0.12173400000000001,0.118683,0.118733,0.972347,64195158,0
8,booth,__booth___,__buT_____,226,LF,INC,LI,5.6,__buT_____,1,0.09646600000000001,0.072879,0.058912000000000006,0.072775,0.084714,0.061624000000000005,0.085823,0.091203,0.076022,0.09645200000000001,0.7968700000000002,64195158,0
9,bowl,__bowl____,__bol_____,462,LF,INC,HI,6.3,__bol_____,1,0.13196,0.106773,0.074647,0.156917,0.07665900000000002,0.094754,0.10930799999999999,0.130312,0.123929,0.135755,1.141014,64195158,0
10,box,__bo_x____,__baks____,1497,HF,CON,HI,6.7,__baks____,1,0.1217,0.093952,0.059844000000000015,0.10810399999999999,0.072373,0.084253,0.113457,0.12559800000000002,0.11138100000000001,0.11443500000000001,1.0050970000000001,64195158,0
11,breath,_breath___,_brET_____,245,HF,INC,LI,5.0,_brET_____,1,0.08275500000000001,0.06721899999999999,0.03318700000000001,0.23253000000000001,0.09940700000000001,0.042831999999999995,0.06203600000000001,0.064601,0.07126500000000001,0.07139000000000001,0.8272220000000001,64195158,0
12,bribe,_bri_be___,_brAb_____,182,LF,CON,LI,3.7,_brAb_____,1,0.10899800000000001,0.101889,0.047075000000000006,0.081472,0.08740700000000003,0.081084,0.08989000000000001,0.11309400000000001,0.10977300000000001,0.11520300000000001,0.9358850000000002,64195158,0
13,bridge,_bri_dge__,_brIJ_____,1301,HF,CON,HI,6.7,_brIJ_____,1,0.086566,0.086294,0.039873000000000006,0.057788,0.06518800000000001,0.072408,0.06911700000000001,0.088455,0.080067,0.079866,0.7256220000000001,64195158,0
14,broad,_broad____,_brad_____,3234,HF,INC,LI,3.3,_brad_____,1,0.12288299999999999,0.09534200000000002,0.061286000000000014,0.141643,0.08693800000000003,0.075112,0.095114,0.12568100000000001,0.126228,0.122671,1.0528980000000001,64195158,0
15,broom,_broom____,_brum_____,44,LF,CON,HI,6.6,_brum_____,1,0.12086700000000002,0.092728,0.058396,0.09671,0.084505,0.10073800000000001,0.10036,0.126571,0.110419,0.129941,1.0212350000000001,64195158,0
16,bunch,__bu_nch__,__b^nC____,483,LF,CON,LI,4.0,__b^nC____,1,0.09325699999999999,0.08184300000000001,0.050241,0.12381199999999999,0.06076200000000001,0.102271,0.08322,0.085138,0.087355,0.09194100000000002,0.85984,64195158,0
17,cage,__ca_ge___,__keJ_____,112,LF,CON,HI,6.4,__keJ_____,1,0.055328999999999996,0.036204,0.027045000000000007,0.049298,0.12036299999999997,0.02492,0.047997000000000005,0.049047999999999994,0.045141999999999995,0.060957,0.5163030000000001,64195158,0
18,cake,__ca_ke___,__kek_____,210,LF,CON,HI,6.8,__kek_____,1,0.046848,0.03467,0.02192800000000001,0.04975199999999999,0.035613000000000006,0.026926,0.045198,0.040067,0.040705,0.053664,0.39537100000000003,64195158,0
19,card,__ca_rd___,__kard____,3178,LF,INC,HI,6.4,__kard____,1,0.069276,0.052104,0.05225300000000001,0.08786699999999999,0.050746,0.04359100000000001,0.077293,0.07384600000000001,0.07533499999999999,0.08683,0.669141,64195158,0
20,care,__ca_re___,__kEr_____,10293,HF,INC,LI,3.1,__kEr_____,1,0.076246,0.059143999999999995,0.050303999999999995,0.08711200000000001,0.047887000000000006,0.056733000000000006,0.07285500000000002,0.076187,0.082372,0.091949,0.7007890000000001,64195158,0
21,cave,__ca_ve___,__kev_____,201,LF,INC,HI,6.7,__kev_____,1,0.059427,0.037774,0.03143200000000001,0.12565199999999996,0.04706500000000001,0.039088000000000005,0.05593000000000001,0.054754,0.053575000000000005,0.066552,0.5712490000000001,64195158,0
22,chair,_chair____,__CEr_____,427,HF,CON,HI,6.5,__CEr_____,1,0.093438,0.098554,0.15114799999999998,0.08077899999999999,0.05849900000000001,0.057894,0.086754,0.08587600000000001,0.10061,0.098265,0.911817,64195158,0
23,chalk,_cha_lk___,__Calk____,77,LF,CON,HI,6.8,__Calk____,1,0.083941,0.06958400000000001,0.063847,0.12487000000000002,0.11632499999999997,0.057870000000000005,0.075631,0.079443,0.088133,0.096974,0.8566180000000001,64195158,0
24,child,_chi_ld___,__CAld____,3095,HF,INC,HI,6.4,__CAld____,1,0.09950500000000001,0.08165100000000002,0.13291999999999998,0.20741800000000002,0.07508500000000001,0.072033,0.088212,0.102286,0.11040799999999999,0.113084,1.0826019999999998,64195158,0
25,choose,_choose___,__Cuz_____,1619,HF,INC,LI,2.3,__Cuz_____,1,0.14101299999999997,0.107425,0.21409300000000006,0.117254,0.149417,0.09929600000000001,0.117504,0.153066,0.15777900000000003,0.17965000000000003,1.4364970000000001,64195158,0
26,church,_chu_rch__,__C^rC____,2079,HF,CON,HI,6.7,__C^rC____,1,0.118011,0.08505800000000001,0.11628999999999999,0.091928,0.07370300000000002,0.08956099999999999,0.14357200000000003,0.10141700000000001,0.111768,0.115088,1.046396,64195158,0
27,claw,_claw_____,_kla______,18,LF,CON,HI,6.0,_kla______,1,0.11905400000000001,0.10622599999999999,0.047382,0.07986,0.09000899999999999,0.05840499999999999,0.091621,0.098177,0.11149400000000001,0.1104,0.9126279999999998,64195158,0
28,clean,_clean____,_klin_____,1737,HF,CON,LI,4.5,_klin_____,1,0.08188900000000002,0.07242200000000001,0.035723000000000005,0.06342599999999998,0.04259400000000001,0.045402,0.055016999999999996,0.083434,0.07469600000000001,0.07125299999999998,0.6258560000000001,64195158,0
29,clown,_clown____,_klWn_____,55,LF,INC,HI,6.9,_klWn_____,1,0.130771,0.11303099999999998,0.05867,0.17182900000000004,0.073552,0.080778,0.091382,0.131597,0.131288,0.127887,1.110785,64195158,0
30,clue,_clue_____,_klu______,163,LF,CON,LI,4.2,_klu______,1,0.101968,0.08163700000000002,0.040574000000000006,0.08389700000000001,0.07244,0.050835000000000005,0.07611,0.08792300000000002,0.090936,0.09448799999999999,0.7808080000000001,64195158,0
31,cost,__co_st___,__kast____,17560,HF,INC,LI,3.8,__kast____,1,0.128742,0.096121,0.073469,0.131166,0.08852900000000001,0.091535,0.108986,0.125574,0.13563,0.135036,1.1147880000000001,64195158,0
32,couch,__couch___,__kWC_____,138,LF,INC,HI,6.7,__kWC_____,1,0.11044599999999999,0.086035,0.064514,0.11170300000000002,0.137489,0.060452000000000006,0.095028,0.10145900000000001,0.10051000000000002,0.11710999999999999,0.9847459999999999,64195158,0
33,cross,_cro_ss___,_kras_____,2107,HF,INC,HI,6.3,_kras_____,1,0.12442500000000001,0.11092199999999999,0.07088699999999999,0.115516,0.10120599999999999,0.12000999999999998,0.10507799999999999,0.13455199999999998,0.150576,0.143157,1.176329,64195158,0
34,crow,_crow_____,_kro______,204,LF,INC,HI,6.3,_kro______,1,0.14348399999999997,0.121471,0.06740200000000002,0.6998300000000001,0.08723100000000002,0.08544000000000002,0.116728,0.12168399999999999,0.128724,0.14031600000000002,1.71231,64195158,0
35,curse,__cu_rse__,__k^rs____,68,LF,CON,LI,3.4,__k^rs____,1,0.08018,0.058233,0.048359,0.059863,0.04862800000000001,0.06825800000000001,0.073478,0.071784,0.071935,0.081404,0.662122,64195158,0
36,cut,__cu_t____,__k^t_____,12302,HF,INC,LI,5.1,__k^t_____,1,0.07459900000000001,0.057985,0.03826500000000001,0.088538,0.05264200000000001,0.051150999999999995,0.070991,0.065949,0.0747,0.083478,0.658298,64195158,0
37,dance,__da_nce__,__d@ns____,875,HF,CON,HI,5.6,__d@ns____,1,0.07139200000000001,0.053078,0.048398000000000004,0.07154099999999998,0.048571,0.08374000000000001,0.085499,0.077183,0.07156200000000001,0.077745,0.688709,64195158,0
38,deal,__deal____,__dil_____,7957,HF,INC,LI,3.0,__dil_____,1,0.071544,0.049239,0.035029000000000005,0.10383000000000002,0.040002,0.043626,0.057475,0.065333,0.06499100000000001,0.070152,0.601221,64195158,0
39,deep,__deep____,__dip_____,2169,HF,CON,LI,4.3,__dip_____,1,0.057617,0.041634000000000004,0.025846000000000008,0.045712,0.051050000000000005,0.030881,0.044771000000000005,0.051034,0.050789,0.056796,0.4561300000000001,64195158,0
40,dime,__di_me___,__dAm_____,209,LF,CON,HI,6.8,__dAm_____,1,0.081195,0.055196,0.04625900000000001,0.05930200000000001,0.051008000000000005,0.059001,0.068366,0.079202,0.083462,0.08861,0.671601,64195158,0
41,dog,__do_g____,__dag_____,1006,HF,INC,HI,6.9,__dag_____,1,0.116004,0.09140500000000001,0.05955200000000001,0.154953,0.084239,0.068788,0.101941,0.133599,0.11976,0.131441,1.061682,64195158,0
42,dull,__du_ll___,__d^l_____,414,LF,INC,LI,3.0,__d^l_____,1,0.091059,0.069966,0.092888,0.11594299999999999,0.048517,0.084249,0.08053500000000001,0.09048300000000001,0.09524800000000001,0.104149,0.873037,64195158,0
43,face,__fa_ce___,__fes_____,8824,HF,CON,HI,6.4,__fes_____,1,0.058414,0.039953,0.03082800000000001,0.04810099999999999,0.05758899999999999,0.036507,0.049888999999999996,0.050058,0.05483500000000001,0.061302999999999996,0.48747700000000005,64195158,0
44,fast,__fa_st___,__f@st____,4058,HF,CON,LI,3.0,__f@st____,1,0.088233,0.059745,0.04600000000000001,0.080759,0.05899200000000001,0.074767,0.082619,0.080537,0.09685599999999998,0.090477,0.7589849999999999,64195158,0
45,fault,__fault___,__falt____,556,LF,CON,LI,2.1,__falt____,1,0.09152500000000001,0.065539,0.04925,0.06727699999999999,0.066757,0.08191999999999999,0.088739,0.08193500000000001,0.100797,0.100874,0.794613,64195158,0
46,fear,__fear____,__fir_____,4321,HF,INC,LI,2.9,__fir_____,1,0.08040399999999999,0.053499000000000005,0.041425000000000003,0.285182,0.047110000000000006,0.082394,0.069565,0.068538,0.075281,0.07614900000000001,0.879547,64195158,0
47,fine,__fi_ne___,__fAn_____,3133,HF,CON,LI,2.4,__fAn_____,1,0.08481400000000001,0.057693,0.04043000000000001,0.056592,0.06646600000000001,0.10922400000000002,0.07312899999999999,0.082042,0.09208000000000001,0.092807,0.755277,64195158,0
48,five,__fi_ve___,__fAv_____,20929,HF,INC,HI,5.8,__fAv_____,1,0.08804400000000001,0.069936,0.04711900000000001,0.07168599999999997,0.06844800000000001,0.08366100000000001,0.08732000000000001,0.088802,0.09847500000000001,0.09993100000000002,0.803422,64195158,0
49,floor,_floor____,_flor_____,3171,HF,INC,HI,6.206493506493507,_flor_____,1,0.13841499999999998,0.144514,0.07743000000000001,0.10659000000000002,0.08113100000000001,0.09519200000000001,0.105363,0.129208,0.123966,0.135337,1.137146,64195158,0
50,flute,_flu_te___,_flut_____,55,LF,CON,HI,6.3,_flut_____,1,0.108687,0.092917,0.04660500000000001,0.08006200000000001,0.12031,0.067102,0.079351,0.095745,0.08839499999999999,0.10852100000000002,0.887695,64195158,0
